msno,is_churn,city,bd,gender,registered_via,years_using
zzqhrI0gqPwQnjjWX4PC16TgaLSUwQaejWWeJjclfW8=,0,1.0,,,7.0,4.0
zzppRL+pLMgQctdB5f9etlPMPQfOBATIah7MyNfOUIs=,0,1.0,,,7.0,5.0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,0,1.0,,,7.0,4.0
zzpF6hy2lJv8GjT/eZOGSCmg/kQ5FtuIuI+EUaAx7YU=,0,1.0,,,7.0,4.0
zzp++cVQOL+vApgAvHD7JtTt69oNArzMt0gWhVY7e1w=,0,1.0,,,7.0,3.0
zzompfSaMamqvjyCMYvgUBwYrxh8fHE40z3f73CQoak=,0,12.0,24.0,male,3.0,4.0
zznxIK74CmFA4ctJV0OdqizliOysqwVH3HYqSRatwjQ=,0,1.0,25.0,female,7.0,5.0
zznuqn+KaqC3TAIy7ulqyWKSGy7Mzsg5Br2Li0Wgd4Y=,0,1.0,,,7.0,3.0
zznUnSfJG6FoDomRtZ3U4mZ5199QmKwAubuaWycwEE4=,0,14.0,36.0,male,3.0,3.0
zznOp14XYH0JZQlyS6D8eereJBwiQOIw6JXkC5bWeLM=,0,1.0,,,7.0,5.0
zznEaSUpb3ViumtMHeqcLeS5M96xXNH3kam9qOz35es=,0,1.0,,,7.0,2.0
zzmqBYauZ247rjS10f7TK2D7L3SFZcXkEEDWAIxzxSs=,0,22.0,24.0,female,9.0,6.0
zzmmUDDz1Fq2BiixhCRtn4hYVvG4nn09lVRvA8Lz824=,0,1.0,,,7.0,6.0
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,0,5.0,25.0,female,9.0,5.0
zzmKDr1WfF1gRwmq0K+yMLKkplcsuY8z1jJUVWyy2eI=,0,5.0,28.0,male,9.0,8.0
zzm3H4rHaa2mSCYkpxmVnjjVekl6TBOQoaO3q2FXB1Q=,0,1.0,,,3.0,4.0
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,0,5.0,25.0,female,7.0,3.0
zzluOt3F7bCPVG8ZRgGbGNYVSICKW1xIjx4PpepeK2s=,0,,,,,
zzls+AKrL4wxULaWF3BU5QjFpWe4mqN/EAvZFfxR3us=,0,1.0,,,7.0,1.0
zzlcbpoKog6kvPihC0k0kEP0fN9pRC71yrrtE6BQVdc=,0,1.0,,,7.0,4.0
zzl9h2LZs1EjLRXEUQKK1di+wj08ISUBoTRvwF4Avzg=,0,1.0,,,7.0,1.0
zzl/0Ih763mnofwOhFMKH7w9u0/bA5CM50IUzb35aYY=,0,3.0,26.0,male,9.0,2.0
zzkXRrSwb5YwoC6X0Lr1yASb3nChanwe7CZuElXOZ4I=,0,1.0,,,7.0,1.0
zzjsrEhQibAhfsFZx3ytTCBBKrX28jMI9jl6uyc/g4Y=,0,1.0,,,7.0,3.0
zzjTkhl1QpGtYbm4npjOdV8kl0QcS8h8zJhC9jfcBBM=,0,14.0,52.0,male,9.0,9.0
zzjL+h+/fnGP09U09wqUbRQxPn+S4xdccyhyVoTOh3Y=,0,13.0,21.0,male,4.0,1.0
zziyOcunJ4oesFC3cpjpnkcrG6YA8sdEEedGfZMoRq0=,0,,,,,
zziTqSDZhesMe8Kn7IRCocDUI+fS4D0Vxg1vV62opkM=,0,1.0,,,7.0,4.0
zziROcLZ8887/+2aZS3sTqdgAE/D7JaEq2wwjeZZcRs=,0,1.0,,,9.0,2.0
zziGyl/qzTCtTSSnq0DdSEAj7dZPp5K54SE4BpTbw34=,0,5.0,20.0,male,9.0,2.0
zzhrzT+z9dZ+it2PintnVCDwqSR8LgToEbvmIx+Dl24=,0,1.0,,,7.0,2.0
zzhGfKDz/kX/YGfIrAXlI2F1OQy/Gx2RgsbY8aHtqZU=,0,1.0,,,7.0,3.0
zzhFV/rqk3wZYOdelkIDXvwaWIW81bg7Ujl0wHmHh6I=,0,1.0,47.0,female,3.0,0.0
zzh6QA9K39uSsPFFgVhP3XwjVK9IqyYQdyOTp3RwyMA=,0,1.0,,,7.0,2.0
zzgruX6h2Mny1gnjyRqtuWr2ldg/UOUox4YQBHhinig=,0,1.0,,,7.0,4.0
zzga7YVPsjSOB4PddZgoWOdiq4Z9E1UVdbU5aRrVnRs=,0,1.0,,,7.0,4.0
zzgZegv7fTUp2rOEyStKmsAs4SNrURIMRuIEJl7KFBw=,0,13.0,34.0,female,4.0,1.0
zzgNB0q1rl7MhtCW3DxZjPJPiZUQQEKYuJuUUnEpaII=,0,15.0,23.0,male,9.0,11.0
zzgHOgriSs5YSO3bFxG/LINomvP8ZxhgUQrcf2MZX2Y=,0,9.0,,,9.0,2.0
zzffykqcaEfJTKzrT3Dy2Cb2Zx/D/khvG24rkU3m14k=,0,12.0,49.0,female,9.0,12.0
zzfLVSNNFRKvPv3nUDvtybJxXzcXed8XsTAmg69C4z0=,0,22.0,25.0,female,9.0,9.0
zzfEMGdiJm9nO5k41mEPRY3weFE4ctutGdd4aF9kIvg=,0,1.0,,,7.0,1.0
zzfECxtRL4n08hLXs1L3wEJ9aPosfky4INGI7O/ypJU=,0,,,,,
zzfD9N/35OvcLc0Qe/qXhQSNF812/qO8COjGX5L7j8k=,0,5.0,21.0,female,9.0,9.0
zzej1kqIwUfwVS3tM0MaN5ncLENnhU1kfYYc7OI0STc=,0,14.0,29.0,female,9.0,6.0
zzeZ9Vjz01AVOJVKn/MVtZ9OvaX0SJmMdyPOYnN49kQ=,0,14.0,30.0,female,7.0,5.0
zzeNgiCRlasIX08I1tC96BuX9AGIXI9ekCiIz2cEFRA=,0,13.0,32.0,male,9.0,7.0
zzeIhnyQ0+hj+Fx3w5ZEI6WsjKOE31fMwU29AWk8+J4=,0,1.0,,,7.0,4.0
zzeHVBRDEQnmuiJHxq/+d8vznKiRc+srBtcbn5IS1cQ=,0,4.0,32.0,male,3.0,3.0
zzdP1+VytABramNZPd7eXdDUr6X0uvCf1+Kb1OUroik=,0,,,,,
zzdNrf58ZF1J6xozxmkpgg82cIvxx6MW1KsvVFYsDXY=,0,1.0,,,7.0,3.0
zzcOK0Kw8LiQ006FKwHibLpiBV4EeJIok9/vWOwFhUw=,0,,,,,
zzc3xCgSALk3is1GqCVPCki9LilhWxlwcoNwU6SN++c=,0,,,,,
zzbobNbM/PigRRVagVIFdQ261ZCax2ZzdWZnfjzEnNA=,0,1.0,,,7.0,0.0
zzbOMR4ajuNKTNcycMhFrAmwSO7cT460sAlw+gXbWug=,0,1.0,,,7.0,6.0
zzZrR2vlnXSBAqvJkadj1amu+uwSrH/wWXD6gakZg3Q=,0,1.0,,,7.0,2.0
zzZg+ARS27pAVnJuyOj4AmYhm7Yoz6SdpkbA7Oc+314=,0,15.0,,,7.0,3.0
zzZLt+6WioLhYcKwpB1EsKhiqnTvTZqED0fLYWG3jqk=,0,1.0,,,7.0,2.0
zzYjdBAnuDeoVvuDzuWk5bmzfVqAwkqFOUmene63TWE=,0,1.0,,,7.0,1.0
zzYKYWh4VvXLB4OpGcJSJp6TcWQ22Z1bGCslD76rNiw=,0,,,,,
zzY6ofDEzJs9YkvDETa0K8AWChcrl+Z5sGQSlGSupec=,0,1.0,,,7.0,1.0
zzXvlhM/67l0nCUq1KmhPHW1qiTO4KKkEbLOkmUvvBU=,0,1.0,,,7.0,3.0
zzXt3L/yYMQLiUaknNgNGIxVxd6cUWTwfFCuOOYbS80=,0,5.0,28.0,female,7.0,6.0
zzXnkYZNSFzExEdMLnzH+nBf0W9Nmk82oPyZ7gsodFI=,0,,,,,
zzX4PENdFambpYS5K5NOfEWohFW+KZZUzTmhB3D+/ew=,0,,,,,
zzVwvG19gjeF/lghq2DPa/eSSIvT5QGLTXoy17f/T8U=,0,1.0,,,7.0,1.0
zzVwezivG/oGLuqWvrNUyv9CGn27JHWLfZZTJkwREd4=,0,1.0,,,3.0,4.0
zzVuAn+JQ/5X80yCTD4ZcnEWZ709xhzD9++UtUovUGw=,0,1.0,,,7.0,3.0
zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,0,1.0,,,7.0,1.0
zzVFa7Gw2fTnLbsVZ1A1pZ5urfRovDjV675kXeeO8Xg=,0,1.0,,,7.0,1.0
zzV6fBa6IIzvfBKNKCU8q99EMfpz5jdQ2Afigi9YzlM=,0,22.0,,,4.0,1.0
zzUiK87XB73O6Q6OKiVKR36qb4E7HoWSjustBrI5YZ0=,0,1.0,,,7.0,4.0
zzUEk+LFX8Cw60veGN8bTSwyXCw6BTdEXrdl6mmg4E0=,0,4.0,,female,7.0,5.0
zzU8DyJDFzs8+u7lypEbr6hXF1h3xUKEZj0GCpGWNT8=,0,10.0,26.0,male,9.0,4.0
zzTbZOrrsP9guDKNfbj+1httRnowV9EasZsxciX4s6Q=,0,15.0,25.0,male,9.0,2.0
zzTJnAb0M/iLKg31z8ntbELKulos84oIsb7bzhSnXq0=,0,12.0,17.0,male,3.0,2.0
zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,0,5.0,,,7.0,5.0
zzT1BBITCzO9EyZJ/M0S424Sj6SCCf+spL070Nctz0g=,0,13.0,24.0,female,7.0,1.0
zzSwoxn+5BW5K0afQm6weUoNxuNqPveD4zypRkAdJpU=,0,13.0,21.0,male,9.0,10.0
zzSuei9bqFkkO9cshaR4qNVV2TP2oDVcFFdOf3UY5ow=,0,5.0,46.0,,7.0,7.0
zzSjSx41tIpe7tEEKqUfkUIAIP6GVxjGfMb/qWyari0=,0,13.0,39.0,female,9.0,10.0
zzRwvJEyfghxfThCm8v5huXZyFDJKfwUDgolI2zF4W4=,0,,,,,
zzRpViDA3YXl9f+XuMjpqYy0x9Q3V812IzUDhzRgw0M=,0,1.0,,,4.0,1.0
zzRjOC3trxRkP1T5l8/NEH7J/FiUVaD9WEYLqD97gKA=,0,1.0,,,7.0,2.0
zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,0,13.0,25.0,female,9.0,10.0
zzQABUOYIKM5CzRPbAVDSZJxECNB/WzsHsfpPjB4Lg4=,0,,,,,
zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,0,5.0,28.0,female,9.0,8.0
zzPLfEnr4Mc+59m/1u3o+Fw+7GE18nofIMwaooKe5ZA=,0,1.0,,,7.0,2.0
zzPIMqFZOnJMP/FuftaPRFe0LegbqBrlLoGnzx5kg/8=,0,13.0,43.0,male,3.0,4.0
zzP/rYCXgZyK4YFHmbPZ+dM2heKv9q5+HpVRsM0m/TQ=,0,4.0,22.0,male,3.0,4.0
zzOxpxMVkK7fowYx+TYEtebtck2t81ZzZ1U/dU6wmxA=,0,1.0,,,7.0,2.0
zzOoc3bmlGjKO4lH/koji9PFC73VgNGX9t/u9mWXbRA=,0,1.0,,,9.0,1.0
zzOdM4/KJC7/wwQ5onRqVmxOeeiD24or5Q1rVbBeC2k=,0,,,,,
zzOYt89ny47/uhZAPs9++MfSt43eG1BIBYry0QWaUrw=,0,1.0,,male,3.0,3.0
zzO1S/aU/Bo46GF1MOh5qvttxRdvo87TJZI8Zhpq4AM=,0,14.0,27.0,male,9.0,10.0
zzNtjqDYmSnHjxhMNkceASOQHx80OVZVQQtuI7wD8PQ=,0,1.0,,,7.0,2.0
zzNmPZP353qdmpok+/T3gbr1D5fhsOSfeTCYseJvCuU=,0,5.0,27.0,female,9.0,7.0
zzNhkExbpzmpjp9tXefiCUBtgNLgS+vZE7fFfTRDJVc=,0,11.0,22.0,female,9.0,4.0
zzNdm69PsvZ4ylclUM98U5cCrSWnhRHCoLpL9qfhba4=,0,1.0,,,7.0,6.0
zzNPmXPrUX7vSn43yiN0OvLvaDtyf63RiegHdZ7Mhww=,0,13.0,39.0,female,9.0,10.0
zzNCOtRHSp4rC7sVp/jB5uMcULeVMOGqJcNN+vfi9PQ=,0,11.0,,male,9.0,12.0
zzMahj+N5JJpSJMwXxfaEc8fNbrgdWfb4Py7iPIco8o=,0,13.0,19.0,male,9.0,2.0
zzMBHTqKXenYyDFVCfiR6Jg3Iyy4Dl4zvHCvClAJZBE=,0,1.0,,,7.0,2.0
zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,0,1.0,,,7.0,3.0
zzLm556OxBo9CeKekcP99juuwuIktrGJ+7Bc8J+r3BU=,0,1.0,,,7.0,2.0
zzLS5m4/CO60cgBVzUcG0XaNFyvnZe1rqe1ZRSZ7uMs=,0,13.0,30.0,male,9.0,2.0
zzLNrVize8LoEG+PKvB8OkOcimdEtF69fvEth8xdAO8=,0,,,,,
zzKLquVhXB8Y+owJH9ZMKbfqXOKd1TZn4DGbGZSBbMM=,0,15.0,23.0,male,9.0,7.0
zzKJ7BaHKO4sCSYLdY7kY1XBD7gpzb92qrS6RIsztnY=,0,1.0,,,7.0,2.0
zzKGgXd78jeU//EnZjUkCiRQpvWlx0zX8gBHoKInh58=,0,13.0,20.0,male,3.0,1.0
zzJxewOZ6j0BDG2b2tC3wrOgkm/Re0Opeqsz4OqxYRE=,0,,,,,
zzJsiEo9uRsyWFDoiQHgysf+StvimeY3Vq9nZjupzig=,0,1.0,,,7.0,3.0
zzJqxB8Wwi/1MZ8L60W5/1ZcF8mO84f08mJsxhTNeWQ=,0,12.0,20.0,male,3.0,3.0
zzIpRWgA/miJ+4u4AxxxWZEPYTBWhfnD9PK+U+XH+iw=,0,15.0,27.0,male,3.0,3.0
zzIeuPGWnS2phdURnOj/dy228o43vaSfhtrRlScSi94=,0,1.0,,,7.0,1.0
zzIX/DK0FRhORIMY06VhwQVjgFaqBU4Qg7EFo9KE7dU=,0,13.0,27.0,female,3.0,3.0
zzIWCbYXz7W2JORNmRa2c7JUwTlFI1dx+aR2WxYT9TQ=,0,5.0,22.0,male,4.0,1.0
zzIVUiNC91TK5K9KM8XLk+LVsUzK/YgZAcwdR+s5R0U=,0,13.0,19.0,male,3.0,5.0
zzIOLl92Dxf2RPsi+UayG3AbD6+Lq7OTbe49IDylT9I=,0,5.0,49.0,female,9.0,12.0
zzI7fGqlmsudYY6H7I1Y7HU0kuTzq1QJSTaZEpEgHc4=,0,1.0,,,7.0,4.0
zzHtqHGnZM2kZ2/DdHqtaOX/6ANI9XYK9OC8G51Z2UU=,0,,,,,
zzH2MH2PO0cNE/7q3GM8VQ5QNQ+joBNqmHEjEE0A4xQ=,0,1.0,,,7.0,2.0
zzH0a76VzCqZNZem6z1PBLNvavdYohY4JoB33dWpsnI=,0,1.0,,,7.0,1.0
zzGJl56zlHz+AAX/8ob0UHtU1aXcg60DSA25lx3kqLE=,0,1.0,,,7.0,3.0
zzFrnJ3Ikju6EALI0yupagnNSocS3w4oAWkQ3zvLv/Y=,0,,,,,
zzFo/oj3HgLiM/JGF6CJV5TbwqzmRlQkxJDZ4uHWXDo=,0,1.0,,,7.0,1.0
zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,0,1.0,,,7.0,4.0
zzEsRzJVsvZn+u6HUk1hwGN7utpJNwGJn4qgF1/S5HM=,0,13.0,34.0,male,9.0,9.0
zzEQFa6UTxzDr/koLamlbTgV9xdKqFcBjTPnDJUOY3c=,0,6.0,27.0,male,9.0,10.0
zzE5yqfwb2AUKmo/JLrpvuUKhYZLKE+niCpg4M7dFQg=,0,14.0,22.0,male,7.0,5.0
zzDJ5/RPpbAqwp1yvXVpX5b4MEnqnUD2tQoZtDfhLVQ=,0,1.0,,,3.0,3.0
zzD4yTe1Z3XY+i4hCG1r8Kplx0k4Ic3oSMLtAX1X8Hc=,0,,,,,
zzCUthVP0mjXPYSn2/ZaMywQ6iYkA3yWX2ZGMFG4zyA=,0,1.0,,,7.0,3.0
zzCCWvR2Sc2cNTSJ1xuSsAHLZ9qRw8Cq1ttqgW+Retk=,0,1.0,,,7.0,1.0
zzC1KXqarvLURbCN2d0qnQ4+mOYsWm/zKuVHampEoIM=,0,15.0,27.0,male,9.0,11.0
zzBnfQjpxsPUE8F6COfl7ZSIykTK531i/5+u7qLtsek=,0,1.0,,,7.0,6.0
zzBQaGuY4gR+pTRDSQA6ymAlP5pMSMxWdrBcTAeN/Mw=,0,1.0,,,7.0,4.0
zzBJ9qHaJTHVv5J12iKLdsWMqeziDsw73d0g/6VK6Ug=,0,3.0,19.0,female,3.0,5.0
zzAEheLbCdOlDfzI0VJIFx+j/ZbKpxrHqtN+pPXT8vQ=,0,,,,,
zzA7vE0xx5lSnh8tb5q6XFnVGLKOA8ymbrhtZjta190=,0,12.0,24.0,female,9.0,4.0
zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,0,5.0,33.0,female,9.0,13.0
zz9njTEmuZRP8et++XFiyG6eq7Xorgxsi8F730da+Jc=,0,1.0,,,7.0,1.0
zz9ZjE6P/o3gESx+unl0yxNsHDbMzyiZc2VSPSpEBqA=,0,1.0,,,7.0,1.0
zz9OdW6Q5ynYGrW8IqwMm8UApMziSEAWZuQ673A9WGY=,0,1.0,,,7.0,4.0
zz8o4koamdDskJYmiGhLl58tgg0StiZ2AAgnAEEDx4s=,0,17.0,29.0,male,9.0,10.0
zz8Wx7GAG9flGdTukb+b2/yHUYhNIiHiE28db/My4w0=,0,15.0,26.0,male,4.0,2.0
zz8KICPQtYL1fGOS2Uj8T759QYB1bCpF95DdUEkeE5A=,0,6.0,32.0,female,9.0,10.0
zz7tBBWPnXEHTWRbIGxIb3u0K6HbJ+KJz0let3O+SJ8=,0,1.0,,,7.0,7.0
zz7Hs3B5o6m2rL1IUY4MgHYGcu1aiFMVyC5QSOxLIlA=,0,18.0,22.0,male,3.0,3.0
zz6m8E8i8DbzN1SqjJDx8/S9oWggFeJLGpE5tIkJChM=,0,13.0,47.0,male,7.0,4.0
zz6lRxX6hRm/NHesrB3T+T/xeQuxPRL/NrJruyCh6i0=,0,13.0,35.0,female,9.0,3.0
zz6FVyCbt/cowrJOn8x/OB4aowRrQFLzDrlo/ULtB+U=,0,13.0,24.0,female,9.0,6.0
zz61H2SbZe9gMCLnRMFVkzVUaC4lprbSJzR5ngT0Sk4=,0,1.0,,,7.0,2.0
zz5fk2rfvT3ef27vQ5g/vBI6ctr8vJrUvRwY3pMNuEY=,0,1.0,,,7.0,1.0
zz5coSdawmwCZJHTNEKVXiUfQupSrv2z2zxIIhORdIY=,0,4.0,28.0,female,9.0,2.0
zz58DhHXMpGS0reh+g3F/m67RRSScr4B1CY7TG6CaCs=,0,8.0,17.0,male,4.0,1.0
zz4fyIM3m8DX8faIFsQsEV0TSSRxjVskJq1eWEj+jo0=,0,22.0,28.0,female,9.0,13.0
zz4ZG/jVXvSPtJzgysY+SV9czhr55LYhl6HHO/u8QV0=,0,1.0,,,7.0,3.0
zz4PKt9K9XzsNUH7dDIPTHvHDK6FsHEuI1X4YvZyjH8=,0,1.0,,,7.0,1.0
zz4AIQWy4t4qzayY1OEzmxcn4ez591Lat5hqB9jwVig=,0,1.0,,,7.0,1.0
zz3rSM7xR0Ks1gMZI2Uf84ApGZQQhj0rbUdKdDinyDI=,0,1.0,,,7.0,1.0
zz3m/dTioUfaR+VrjggZteyxZCri1cSARVRRPfFP724=,0,13.0,17.0,female,7.0,2.0
zz3DI3Mp7XY9G0ZytOq3IXvef0tUVqI4W+cbKT9Be4E=,0,10.0,25.0,male,9.0,7.0
zz2gtiKbPujfrMRAf1rIuqpmVMIiX8XNcIoZTKQ69qI=,0,1.0,,,7.0,0.0
zz2TKuuCKAcER345vY6rVBWo+IPFsKgeGnQn0davHjM=,0,1.0,,,7.0,5.0
zz2KG7vGtZg0O5r2xP/lmbQw0wKkehJqYGrSCBXeuvE=,0,1.0,,,7.0,1.0
zz1wE8CDh9o+BARWYO5jdcsgRSk065n07xMBaGuYAEA=,0,10.0,27.0,female,9.0,10.0
zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,0,1.0,,,7.0,5.0
zz1UvPLJASJMGqI5ynTpy/f24fD/w8S3R0rgSlHOE04=,0,12.0,22.0,male,9.0,7.0
zz1G+N4SDf9xmolLBzRgIyvUu+xSrR1n3i8aTMgYIQE=,0,13.0,19.0,female,7.0,3.0
zz1AW4fIXs7p9wmFnG2BCUq8cDjXlTFA/TrG4vSAMkw=,0,4.0,36.0,female,7.0,3.0
zz0bK2Bi1LvLcJ6X7wTwhng3vlyCFNhoV/eJVwE8cJw=,0,13.0,43.0,male,7.0,6.0
zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,0,13.0,37.0,male,9.0,7.0
zz0VZsIAQDzUk41rK08ncq64sAbA1MvCdFfunPXLTGg=,0,11.0,18.0,female,3.0,5.0
zz0VZdYTSzZdk/GOtC95vwIXIv47phw+QDMpKhmBJps=,0,1.0,,,7.0,2.0
zz0HYqzi55s/vWwUeVVzMOqtgYuNcU1rsH19a+RiPn8=,0,,,,,
zz/fZ1fRL7zLnBT4I6drq/Xg5y4yqkbw3XOmQVwsJ6U=,0,5.0,29.0,female,3.0,5.0
zz/coRFxFlG20oGmyMyEhLBVsJCYuFlWaCabEqrjCGA=,0,15.0,25.0,female,9.0,6.0
zz/ZKXAolnZnoq9lapxzB/rXPjKmt2yWykao9hofOv4=,0,15.0,28.0,male,9.0,4.0
zz/SdH0+VRDiBWti8+XGjQna380huHJEcCgV6ZcVbE8=,0,5.0,41.0,female,3.0,5.0
zz/BMsRhwwETJYj025IiT9t1QbtjlZWCeKDx7fge/DA=,0,1.0,,,7.0,1.0
zz+yYASDmWhPEyUNOrg5B6+/MJCNTsJljbytQ1v07Zw=,0,22.0,43.0,female,7.0,2.0
zz+a6nnbdRAk4qT5r7ZijjO2WD+gIgvPKvdUFCFDGVs=,0,1.0,,,7.0,1.0
zz+JfE3wbhoK0R/geIPGIAuq4PYi9W6HX+twRpa3RGA=,0,1.0,,,7.0,3.0
zz+C0c5tDqCd3dMRlA6V+M+4uXY2vS6FkC/yG7CTwiU=,0,5.0,30.0,male,3.0,2.0
zyzq7Ir5d5OcfmIZ1i7cchCViML9aUAh/uu+PxXSWzc=,0,6.0,47.0,male,7.0,7.0
zyzZqneGAUL6Vq82C5uvT3cmUAwmTP4GXZg4xFc/tRw=,0,1.0,,,7.0,1.0
zyz7vy1d/VY05BRpbN5ikSIS4KatzsrMiJPGLlXhVJw=,0,15.0,33.0,female,9.0,10.0
zyyvtv13G7JjpEq1n7FdRS2SCcSVI3Of8zQZPgipgBk=,0,1.0,,,7.0,2.0
zyyfV4aY6gr35+p2xRqnvzc7JIM6htFflbr91wnbhD8=,0,,,,,
zyyTyJBupf+GBLRCKwhsrd8LSw5WD0U0i+BfeGOlNnY=,0,1.0,,,7.0,5.0
zyyQRSmjIsxyzUCT5ihiV4iWg6wX9LhlFX8OGU5hAHk=,0,,,,,
zyyO4OWFMWBiF9MaGZfHNI92PB3xuBz36LJUKbQmzrk=,0,,,,,
zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,0,22.0,29.0,male,3.0,4.0
zyyCcsHhoZthRzyM+FpwLhsYSesJKq5nQh3zeOuKWEo=,0,1.0,,,7.0,2.0
zyy4lPX+I5jUwGzxvCnHvd4+Iu/A1NuPB4RHfMTH5HM=,0,1.0,,,7.0,2.0
zyy4PNvNSwBN+A3s0cOOmQtNj9s7f/OJbVyX6uPftIc=,0,,,,,
zyy3UB9zg8Bl4gMHFzuE//z0zka24zTXE3tvG6GsIBw=,0,11.0,24.0,male,9.0,7.0
zyxoEIi+nTI9Q1FPf1tzKU3auZHMAtOPmkgspRVf4ak=,0,1.0,,,7.0,3.0
zyxfzZFZnY17NY5gKmZfPfCE5pI87N38pkBUuZJY+6g=,0,1.0,,,7.0,1.0
zywCnMSBwQhMsvW7RN5TvuRgRLPJO6j6M6mJTdotKHs=,0,,,,,
zywBztclMLm2BGPhYIzi2G/kt6eStv3/GZu2y2CMv8g=,0,1.0,,,7.0,2.0
zyvI3x600eiCMYXejyCzV4fZIoeRS8Iy4cqxB1rk+7g=,0,,,,,
zyvAzPVLa9g6gi7diVpZPKB3SNCM2ES9GADmYF5vTV8=,0,1.0,,,7.0,2.0
zyv1K/LACVKRBw88p6rvutxn09dTfAzN5YyDuycRrFw=,0,,,,,
zyv/tgkfq6v1kmCG1zkblK91VDVwjIVo9l68ixn5d70=,0,15.0,,,9.0,1.0
zyurtE54jz8j0TfQPmNrMHMMHzp6irYmwY2sk4x+LSk=,0,6.0,,,9.0,5.0
zyurUACxQaPQIcWE2VHREObDJoLaGPdBFAo43KoFRrc=,0,1.0,,,7.0,2.0
zyuIwQzrOnEeGzfbZgpDewxet/YUTzMcoir+bNXvjM0=,0,,,,,
zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,0,13.0,32.0,female,9.0,9.0
