,msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,total,years,months,days
18,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20170125,4,3,6,2,27,36,8747.694,42,2017,01,25
19,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20150903,3,0,2,0,23,24,6640.119000000001,28,2015,09,03
20,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20151225,0,0,0,0,6,6,1556.1670000000001,6,2015,12,25
21,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20161014,10,2,2,0,10,21,2937.048,24,2016,10,14
22,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20150621,1,0,0,0,11,11,2547.5389999999998,12,2015,06,21
23,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20161014,2,2,1,5,9,17,3359.1,19,2016,10,14
24,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20170127,1,0,0,0,6,5,1755.0439999999999,7,2017,01,27
25,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20161204,0,0,0,1,41,41,11162.273000000001,42,2016,12,04
26,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160607,2,1,0,0,6,8,1266.728,9,2016,06,07
27,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160812,0,1,0,0,12,3,2146.8320000000003,13,2016,08,12
28,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160409,11,1,1,0,5,17,1438.04,18,2016,04,09
29,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160130,3,6,1,1,54,38,15808.688999999998,65,2016,01,30
30,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20151026,2,0,0,0,16,18,4333.895,18,2015,10,26
31,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150817,2,0,1,0,0,3,163.213,3,2015,08,17
32,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150604,2,0,2,0,29,23,8072.5,33,2015,06,04
33,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150411,3,2,2,2,8,11,2566.195,17,2015,04,11
34,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150212,1,2,0,3,7,12,2272.7729999999997,13,2015,02,12
35,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20151125,2,0,0,1,62,34,16839.51,65,2015,11,25
36,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20150508,0,0,0,0,3,3,780.33,3,2015,05,08
37,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20161028,0,0,0,0,4,4,986.0,4,2016,10,28
38,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160822,1,0,1,0,7,2,2235.446,9,2016,08,22
39,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160620,0,2,0,2,23,20,6660.218000000001,27,2016,06,20
40,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160331,0,0,0,0,3,3,858.828,3,2016,03,31
41,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20161225,5,1,0,1,27,18,6859.847,34,2016,12,25
42,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20170213,0,0,0,0,10,10,2412.0,10,2017,02,13
43,zzkXRrSwb5YwoC6X0Lr1yASb3nChanwe7CZuElXOZ4I=,20170111,3,0,0,0,7,9,1827.1589999999999,10,2017,01,11
44,zzfD9N/35OvcLc0Qe/qXhQSNF812/qO8COjGX5L7j8k=,20170219,10,4,1,1,0,15,912.4680000000001,16,2017,02,19
45,zzfD9N/35OvcLc0Qe/qXhQSNF812/qO8COjGX5L7j8k=,20161006,7,1,0,2,20,28,5272.994000000001,30,2016,10,06
46,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,20170114,0,0,1,0,18,8,4715.858,19,2017,01,14
47,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,20161119,18,3,1,2,28,52,8218.076,52,2016,11,19
48,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,20160923,0,1,0,0,14,15,3576.8579999999997,15,2016,09,23
49,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,20160725,3,0,0,3,8,11,2587.009,14,2016,07,25
50,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,20160523,147,2,4,4,33,151,11010.018999999998,190,2016,05,23
51,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20150217,3,0,0,0,0,3,23.203000000000003,3,2015,02,17
52,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20150503,1,0,0,3,46,49,12606.041000000001,50,2015,05,03
53,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20150817,21,7,1,1,78,84,19884.836,108,2015,08,17
54,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20170207,0,0,0,0,15,15,3305.0,15,2017,02,07
55,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20151105,4,0,0,1,13,17,2858.01,18,2015,11,05
56,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20160310,1,1,0,0,11,13,3119.3070000000002,13,2016,03,10
57,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20160519,2,1,0,0,11,14,3003.313,14,2016,05,19
58,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20150626,47,4,1,0,63,111,15707.81,115,2015,06,26
59,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20160802,4,1,0,1,4,9,1545.217,10,2016,08,02
60,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,20161014,1,0,0,0,7,8,1899.7979999999998,8,2016,10,14
61,zzRpViDA3YXl9f+XuMjpqYy0x9Q3V812IzUDhzRgw0M=,20161225,3,0,0,0,49,48,12130.386999999999,52,2016,12,25
62,zzRpViDA3YXl9f+XuMjpqYy0x9Q3V812IzUDhzRgw0M=,20170219,1,1,1,0,2,5,852.97,5,2017,02,19
63,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20151003,1,0,0,0,8,9,1962.818,9,2015,10,03
64,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20161211,2,6,0,1,23,32,6834.241,32,2016,12,11
65,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20150813,22,8,8,4,189,96,48140.28400000001,231,2015,08,13
66,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20160312,1,0,0,0,12,6,2613.22,13,2016,03,12
67,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20150124,3,0,1,3,75,79,19760.324,82,2015,01,24
68,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20150315,3,0,1,4,194,202,48118.08900000001,202,2015,03,15
69,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20151216,0,0,0,0,8,8,1942.98,8,2015,12,16
70,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20150623,14,7,3,3,103,113,27798.98,130,2015,06,23
71,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20160820,1,0,1,1,13,10,3206.86,16,2016,08,20
72,zzQuL5bIdKBZfKR55JlS2FEi2oK7/wPoXpWIXlpw7Eg=,20150504,0,0,2,0,157,82,39790.44,159,2015,05,04
73,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20150124,7,8,4,3,60,56,17732.093,82,2015,01,24
74,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20161210,4,3,0,1,29,35,7182.348000000001,37,2016,12,10
75,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20150510,1,0,0,0,0,1,19.221,1,2015,05,10
76,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20160402,12,8,4,2,28,48,9239.844000000001,54,2016,04,02
77,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20160210,8,1,1,0,35,43,9536.417,45,2016,02,10
78,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20151216,2,1,0,1,17,21,4627.648,21,2015,12,16
79,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20151021,2,7,0,1,3,12,1798.629,13,2015,10,21
80,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20150830,55,7,1,3,63,93,18681.547,129,2015,08,30
81,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20150316,5,0,1,1,20,23,4904.767,27,2015,03,16
82,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20161021,7,1,0,1,62,40,16171.868999999999,71,2016,10,21
83,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20150707,2,0,1,2,34,39,9681.983,39,2015,07,07
84,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20160522,11,5,1,2,38,56,11034.768999999998,57,2016,05,22
85,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20170129,8,6,0,0,21,30,5709.308000000001,35,2017,01,29
86,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20160901,5,4,7,5,23,41,8305.392,44,2016,09,01
87,zzPtQgf5pa+thaoPPFGhlYec4Xmsrn2wpSuNKqQsh3A=,20160711,3,2,0,2,50,50,13505.111,57,2016,07,11
88,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20160314,5,0,1,2,73,72,19267.27,81,2016,03,14
89,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20160614,5,2,2,0,9,18,2944.672,18,2016,06,14
90,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20160814,0,0,1,1,66,67,17495.93,68,2016,08,14
91,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20161021,2,4,0,0,10,16,2709.086,16,2016,10,21
92,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20170218,3,0,0,0,20,12,4581.009,23,2017,02,18
93,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20150918,1,1,0,0,26,26,7014.2519999999995,28,2015,09,18
94,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20161215,5,2,0,1,33,38,8582.193000000001,41,2016,12,15
95,zzLnH23r6uBuc6LN/nMHNTYTgp1/dO0RGBo6Cl45D1o=,20150424,0,0,0,0,1,1,238.34099999999998,1,2015,04,24
96,zzLDwEpn44C9BlfVM9AfU+mQ9vh0pCRp3YKJ/5DD5Fg=,20161017,0,0,0,0,12,11,2925.03,12,2016,10,17
97,zzLDwEpn44C9BlfVM9AfU+mQ9vh0pCRp3YKJ/5DD5Fg=,20160820,7,2,0,0,13,13,3387.8390000000004,22,2016,08,20
98,zzH2MH2PO0cNE/7q3GM8VQ5QNQ+joBNqmHEjEE0A4xQ=,20161127,9,8,2,0,1,16,1226.266,20,2016,11,27
99,zzH2MH2PO0cNE/7q3GM8VQ5QNQ+joBNqmHEjEE0A4xQ=,20160919,49,4,1,2,1,48,1828.104,57,2016,09,19
100,zzH2MH2PO0cNE/7q3GM8VQ5QNQ+joBNqmHEjEE0A4xQ=,20160624,96,14,1,1,2,63,2554.232,114,2016,06,24
101,zzGJl56zlHz+AAX/8ob0UHtU1aXcg60DSA25lx3kqLE=,20150215,6,0,1,1,1,8,637.979,9,2015,02,15
102,zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,20150325,2,1,2,0,15,20,4405.49,20,2015,03,25
103,zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,20150924,0,0,0,0,8,8,2096.429,8,2015,09,24
104,zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,20150608,1,0,0,0,28,28,7146.35,29,2015,06,08
105,zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,20160530,1,0,0,0,0,1,2.589,1,2016,05,30
106,zzF2Rv1o9EaFRAqoMq0e6dxzenYJ9NOyNXnHiIeUWj0=,20161220,3,0,1,0,39,43,10238.939,43,2016,12,20
107,zzDJ5/RPpbAqwp1yvXVpX5b4MEnqnUD2tQoZtDfhLVQ=,20160930,5,0,1,0,32,13,7817.519,38,2016,09,30
108,zzDJ5/RPpbAqwp1yvXVpX5b4MEnqnUD2tQoZtDfhLVQ=,20161119,4,4,0,0,20,17,4924.83,28,2016,11,19
109,zzDJ5/RPpbAqwp1yvXVpX5b4MEnqnUD2tQoZtDfhLVQ=,20170109,2,1,0,1,21,18,5054.856,25,2017,01,09
110,zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,20150702,0,0,0,0,8,8,2206.984,8,2015,07,02
111,zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,20160130,0,1,0,0,39,20,10963.882,40,2016,01,30
112,zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,20160710,5,0,3,0,23,27,6352.932,31,2016,07,10
113,zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,20161207,0,0,0,1,45,22,11229.524,46,2016,12,07
114,zz9rEJzco9LGr/Ng7wXXGw19VgFsa3IH2swAfhVAiBU=,20170219,2,0,0,2,5,7,1800.906,9,2017,02,19
115,zz9njTEmuZRP8et++XFiyG6eq7Xorgxsi8F730da+Jc=,20170221,29,1,2,1,13,43,3945.555,46,2017,02,21
116,zz9njTEmuZRP8et++XFiyG6eq7Xorgxsi8F730da+Jc=,20161228,30,12,7,8,19,62,8833.464,76,2016,12,28
117,zz9njTEmuZRP8et++XFiyG6eq7Xorgxsi8F730da+Jc=,20161108,11,6,3,3,21,40,6408.182,44,2016,11,08
118,zz5fk2rfvT3ef27vQ5g/vBI6ctr8vJrUvRwY3pMNuEY=,20161102,0,0,0,0,2,2,412.38599999999997,2,2016,11,02
119,zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,20150222,3,0,0,0,1,4,284.58799999999997,4,2015,02,22
120,zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,20160409,0,0,0,0,13,13,3381.0820000000003,13,2016,04,09
121,zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,20160626,3,2,0,0,57,62,13379.258,62,2016,06,26
122,zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,20170215,0,0,0,0,3,3,790.595,3,2017,02,15
123,zz1mdmXpCteI9yEg8V04EPNNaCdYOdumh6VLyRuCoWs=,20160107,2,0,0,0,6,2,1210.827,8,2016,01,07
124,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20170131,15,3,3,1,47,65,11996.311000000002,69,2017,01,31
125,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20161206,2,1,3,0,53,42,13884.556,59,2016,12,06
126,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20161009,0,0,0,0,10,10,2722.0,10,2016,10,09
127,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20160211,5,1,0,0,40,36,10498.738000000001,46,2016,02,11
128,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20160802,4,0,0,0,27,29,7441.404,31,2016,08,02
129,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20160503,0,0,0,0,5,5,1246.049,5,2016,05,03
130,zz0Vg430/Dv+G/XCYqJ5uODVvLanVPNd4n23o67rm/c=,20151129,1,0,0,0,59,60,14094.312,60,2015,11,29
131,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20170206,1,2,0,1,10,11,3117.6490000000003,14,2017,02,06
132,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20161203,0,0,1,1,3,5,846.426,5,2016,12,03
133,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20160928,0,1,0,3,2,5,1317.1660000000002,6,2016,09,28
134,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20160721,1,1,2,0,2,4,1059.016,6,2016,07,21
135,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20160509,7,2,1,4,23,25,6372.111,37,2016,05,09
136,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20151231,0,0,1,0,7,1,2003.191,8,2015,12,31
137,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20151024,1,0,0,6,1,8,2000.905,8,2015,10,24
138,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20150822,0,1,1,0,0,2,208.19799999999998,2,2015,08,22
139,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20150626,1,0,0,0,1,2,345.403,2,2015,06,26
140,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20150404,1,0,0,0,0,1,26.45,1,2015,04,04
141,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20150208,1,0,0,0,10,11,2723.176,11,2015,02,08
142,zyyIizV63uGu6R5OxSaXfh22ay/MUaQalmVE11LU3P4=,20160308,0,0,0,2,9,8,2424.135,11,2016,03,08
143,zyv/tgkfq6v1kmCG1zkblK91VDVwjIVo9l68ixn5d70=,20161119,31,5,2,2,25,43,6489.528,65,2016,11,19
144,zyv/tgkfq6v1kmCG1zkblK91VDVwjIVo9l68ixn5d70=,20170110,0,1,1,1,24,26,5842.939,27,2017,01,10
145,zyv/tgkfq6v1kmCG1zkblK91VDVwjIVo9l68ixn5d70=,20160927,1,0,1,1,6,9,1820.1870000000001,9,2016,09,27
146,zyv/tgkfq6v1kmCG1zkblK91VDVwjIVo9l68ixn5d70=,20160808,6,4,1,0,18,28,4759.472,29,2016,08,08
147,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20161127,1,1,0,0,14,11,3846.655,16,2016,11,27
148,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20160929,3,0,1,1,19,23,5398.45,24,2016,09,29
149,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20170127,3,2,1,1,18,14,5460.618,25,2017,01,27
150,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20160728,3,2,2,0,1,8,669.727,8,2016,07,28
151,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20160514,5,0,0,0,5,9,1150.5339999999999,10,2016,05,14
152,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20160317,4,4,3,0,89,79,20471.53,100,2016,03,17
153,zyu0O8EOUFzTY+wWp4ORsMXl9ONDbw8SBb/UBpDyfhI=,20160118,3,0,1,0,11,12,3086.0029999999997,15,2016,01,18
154,zysxY9glURi8LpiVUtsX3MPABCZSSqPXq3vThbjWrTo=,20170218,3,0,1,0,27,25,6925.6,31,2017,02,18
155,zysxY9glURi8LpiVUtsX3MPABCZSSqPXq3vThbjWrTo=,20160906,22,0,1,0,2,23,802.951,25,2016,09,06
156,zysxY9glURi8LpiVUtsX3MPABCZSSqPXq3vThbjWrTo=,20151104,2,2,0,0,3,7,947.5269999999999,7,2015,11,04
157,zysxY9glURi8LpiVUtsX3MPABCZSSqPXq3vThbjWrTo=,20150612,1,4,5,0,1,10,1209.858,11,2015,06,12
158,zyrNil268cQSrugHNOGOcZpIJmDwPYbAEuQTlOiUqBM=,20170109,1,0,0,1,27,14,7720.605,29,2017,01,09
159,zyrNil268cQSrugHNOGOcZpIJmDwPYbAEuQTlOiUqBM=,20161016,0,0,0,0,28,19,7055.866,28,2016,10,16
160,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20160614,5,0,0,1,9,15,2569.82,15,2016,06,14
161,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20161029,3,2,0,1,9,7,3320.718,15,2016,10,29
162,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20160823,14,2,1,1,39,37,10955.93,57,2016,08,23
163,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20150524,12,5,2,1,81,68,22513.727000000003,101,2015,05,24
164,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20150925,0,0,0,0,1,1,242.233,1,2015,09,25
165,zyf61bMaScnjHMAPnxOksQ/itJHZ42OOiEGMSBpv5Tw=,20160323,1,0,1,1,22,23,6866.545999999999,25,2016,03,23
166,zyc3EkYikwK6uJ7qjPdyki0M0vFd8f5TCbb+1wup9wI=,20161219,53,1,2,1,30,86,7753.9490000000005,87,2016,12,19
167,zyc3EkYikwK6uJ7qjPdyki0M0vFd8f5TCbb+1wup9wI=,20160814,2,0,0,0,3,5,656.3530000000001,5,2016,08,14
168,zyc3EkYikwK6uJ7qjPdyki0M0vFd8f5TCbb+1wup9wI=,20160604,5,0,1,0,6,12,1331.717,12,2016,06,04
169,zyc3EkYikwK6uJ7qjPdyki0M0vFd8f5TCbb+1wup9wI=,20160313,13,0,0,0,26,36,6081.147,39,2016,03,13
170,zyc3EkYikwK6uJ7qjPdyki0M0vFd8f5TCbb+1wup9wI=,20160111,22,1,1,0,42,61,10312.91,66,2016,01,11
171,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20160726,4,0,2,3,16,18,4783.964,25,2016,07,26
172,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20151006,3,1,2,1,51,40,7770.988,58,2015,10,06
173,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20150630,3,0,1,0,72,32,18820.238999999998,76,2015,06,30
174,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20161018,0,0,0,0,1,1,245.0,1,2016,10,18
175,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20170112,6,3,3,3,8,16,2307.629,23,2017,01,12
176,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20150306,6,4,1,22,286,288,78419.26,319,2015,03,06
177,zybp4I2q4hqJk7wnWNwEAn+1YEWeYD2oodgRAvL9Q7A=,20160323,2,0,1,0,0,3,108.272,3,2016,03,23
178,zyZT/JTLRdukYJmLcAwIo715eUdcR5YEXcnvX8DfGSs=,20160201,5,3,1,1,0,10,933.438,10,2016,02,01
179,zyTEcTtphUixIWpw37Yv1cUVyDQA6G+fe+W6TqrW7xc=,20151022,0,0,0,0,1,1,294.139,1,2015,10,22
180,zyTEcTtphUixIWpw37Yv1cUVyDQA6G+fe+W6TqrW7xc=,20160411,5,1,0,0,7,13,1971.539,13,2016,04,11
181,zyTEcTtphUixIWpw37Yv1cUVyDQA6G+fe+W6TqrW7xc=,20160121,2,2,0,0,5,8,1232.117,9,2016,01,21
