msno,city,bd,gender,registered_via,registration_init_time,expiration_date,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,is_churn
6LqBF1VkSAYXWpFmSsEsK14A8zB3v+cr8nL+2AWccfU=,4,23,male,3,20120319,20170224,20150818,20,1,0,1,13,35,3875.175,37,30,149,149,1,20151001,20151031,0,1
X+fFTkb+Rz3eT+Tq7AjPEmZEkgWyPlbGckHU+vNQMvs=,4,28,male,3,20120427,20170208,20160527,9,0,0,0,12,17,3223.395,40,30,149,149,1,20161105,20161208,0,1
iqXETxLE45Pi+WNUCfQ0JTK+PlOf/slIzC+Df5V16bU=,15,40,male,9,20041015,20171002,20161014,0,0,0,0,1,1,290.0,40,30,149,149,1,20160702,20160801,0,0
4mQPg3nOqv9epqvB/N7F1BjFEFcB7d5WUDRzAIxtNN8=,14,34,female,7,20111231,20180205,20150614,23,2,1,1,22,49,5916.734,41,30,149,119,1,20150321,20150817,0,1
VtgpY/LLJxLfCM9M+h6Nvj6I+NRQeSIK4EwCGMwZLlA=,15,44,male,9,20070612,20171003,20160824,13,8,3,2,12,13,4438.358,37,30,149,149,1,20161103,20161203,0,0
MlitPx7Gq4mAvQNYx2kmQXaVwifVLzpvXftJV/Qr1r8=,4,26,male,3,20150505,20170916,20170221,0,0,0,0,50,44,12331.0,40,30,149,149,1,20161017,20161116,0,0
xF+39irv5Y3a8u/lSJsiRg8KZxNgkOO7AGyGOkf0SmQ=,13,29,female,9,20111011,20170907,20150205,17,1,0,0,35,47,7694.24,40,30,149,149,1,20170108,20170207,0,0
WbO+22GWnfddNKLtZ6VDP76u8MJzlc57qDXgeBO7LSo=,1,17,female,4,20151121,20171127,20160819,7,3,2,1,22,30,6280.515,38,10,50,50,0,20160812,20160822,0,1
DmFQ0FluhYeYnLAFIst/ROkl0N9EEwh02Zl7FS5zmcg=,8,28,female,9,20050715,20170215,20160127,4,0,2,2,104,109,26292.59,39,0,0,149,1,20150430,20150615,0,1
ILTR7P35AXZudDTRPk/na6FELhp8RyMQ24Ld/9IRhrs=,5,39,female,9,20120819,20170923,20161230,4,0,0,0,6,3,1459.515,40,31,149,149,1,20150121,20150223,0,0
wrXqJrRZQZbI5sWj64yk89Wg50tylAgiDLmuDr47hZQ=,13,35,female,9,20101223,20170926,20160615,1,0,0,0,3,3,852.251,40,30,149,149,1,20161225,20170125,0,0
sO9H3HJyNDlWpLnpsHP5W9vsAeTba5tXzvCwz486QUA=,22,51,male,9,20080227,20170912,20161216,23,6,3,2,14,31,5591.115,40,30,149,149,1,20150611,20150712,0,0
6RtQYyE24E3iJYijFXG1u2plJ//rX8ijrj7KrIGbmXg=,22,20,female,9,20091223,20170503,20160609,4,2,1,0,13,11,3959.004,38,120,477,477,0,20161001,20170129,0,1
9EPWuzlmProds86t1XGrv5VSzHofAJXMAWLMm7EJV24=,4,22,female,9,20140729,20170718,20150706,8,9,2,2,73,67,18488.12,38,30,149,149,0,20150312,20150411,0,1
EAokSUQDPX16zdjUxuj4x9HjK+fGuBQcKM2u3wqB8p0=,13,33,male,9,20110521,20170922,20151028,3,0,0,0,4,5,1057.215,40,30,149,149,1,20161123,20161222,0,0
nSKMTfbctOaxJc8L9lv/pgh9fRflWkK4+o1W2o7ckHY=,15,23,female,9,20150116,20170911,20150325,0,1,0,0,0,1,119.583,37,30,149,149,1,20151122,20151121,1,1
3l58ncCDL8TYcfaa/1rB4jGlcN46cTKf+v4+Gmjz6Gc=,5,23,male,9,20100905,20170910,20160919,6,0,0,0,0,6,75.766,40,30,149,149,1,20170101,20170205,0,1
GWxMLrl3QGPVCT6gc4L6cFAoLfldBXZcVZ6XSbnZ4uk=,15,26,male,9,20110202,20170917,20170211,2,1,1,1,9,14,2517.039,38,30,149,149,0,20161117,20161217,0,1
VcFwOsr6XnnlDw3f+ZbXxivimwNPHblPgL+wE5ZzV7Q=,18,26,male,9,20070109,20170914,20160104,0,2,0,1,13,15,4045.124,37,30,149,149,1,20160814,20160914,0,0
dqM+tO9Ln88J3WBX1SqnDSlO2JdGpQuZ8Cj2umJ6mYM=,17,19,male,7,20160405,20171005,20161001,5,1,0,1,9,10,2777.713,41,30,149,149,1,20170104,20170204,0,1
KWB2Q9AfmxGEaFH2nRBR/Dj3xyjWft/4+sZ9cqSpzfE=,13,37,male,9,20140723,20180207,20151022,4,1,0,0,74,57,18564.129,32,180,536,536,0,20160808,20170209,0,0
jwEipIKi37GOzvEe8UuymfgTJj4ALOxc2mrJjFXpaPs=,14,50,male,9,20090510,20170919,20150522,2,1,0,0,3,6,998.112,36,30,180,180,1,20161220,20170119,0,0
xzV2+8SblYHhE66c0CJjnHLNc0jGndZTFNhEyHqCRGk=,13,24,female,9,20140723,20170930,20151115,9,8,2,0,10,23,3682.822,31,0,0,149,1,20150930,20151031,0,0
5z0iK3rP4zzZiJYFVqVgYzFBn/NlXdfMrBTAhU9jr8U=,14,36,female,9,20091110,20170227,20170123,0,0,0,0,9,9,2429.0,39,30,149,149,1,20150630,20150827,0,1
31PGb1NY4g/x6kHPYyVxM6pcTqF4XEL1u+ucwLqUHoY=,13,20,female,9,20141112,20170808,20160530,0,0,1,0,6,6,1747.681,38,30,149,149,0,20160728,20160827,0,1
fSUJll6HW9h3ucnz5Tupd4MF7pcIQwgHDZr4gLoDEhc=,13,22,male,9,20070513,20170927,20150401,2,1,0,1,3,5,1194.068,38,30,149,149,0,20150225,20150327,0,1
xnrnP+ayjCR70i3efy+BoKnV9SLQE+AQehg7WKAYur0=,4,23,male,3,20111219,20170208,20160517,1,0,0,1,4,6,1258.813,32,410,1788,1788,0,20151223,20170208,0,1
s3OhLULbu2JUFw93AcRyDxTJYwgPSGum6SnzLZBa3Hw=,22,25,male,7,20120119,20170915,20150318,12,1,1,3,17,31,5069.227,41,30,100,100,1,20150324,20150425,0,0
qbwS/5s8vThnNlZMuqfrDu18cOf1wEM4XdTmaAle+aU=,15,19,female,9,20110117,20170215,20150214,1,1,0,5,26,33,7994.599,39,31,149,149,1,20150131,20150315,0,1
1gxkY12LHMd/pOjUW8n0ix6itYcaveNmnjRA0gKGpw4=,5,19,female,3,20150821,20170909,20161014,11,1,0,2,2,15,1040.232,27,30,149,149,1,20160210,20160309,0,0
Rtqcr20QSMDfoBPqZ8S/puQq3yVm5fO+RV+9ZJzy+pQ=,15,22,male,9,20131023,20170714,20150509,0,0,0,1,12,8,3249.122,38,30,149,149,0,20150925,20151025,0,1
6Bk4jGhFMChYa5V4Uuhnnyr1oiMrzQ7hqaCMrhTFZ6s=,12,30,male,9,20110715,20170930,20160129,15,5,4,4,42,63,12966.412,31,30,149,149,1,20160930,20161031,0,0
AwLz6+TdgvcGjA8leW9VKr2WgEr2mg6JivUlIorE9cc=,15,23,male,9,20150726,20170919,20170228,2,2,2,2,15,16,4617.602,38,30,149,149,0,20150826,20151026,0,1
ef7H1H53BKnnAaQ7DTuDC175Uop2aiFLojWTcy1R2BI=,22,27,male,9,20140928,20171223,20160603,7,2,0,5,12,19,4282.045,38,30,149,149,0,20150924,20151223,0,1
scWR/zZLchFoRxkLZv+0smzXlQ+8YUSbbGGEvwtlJfE=,9,24,female,7,20121125,20171005,20161210,0,0,0,1,1,2,378.067,41,30,129,129,1,20160202,20160305,0,0
Ioe4fhHX5pcKNozptTyCjCyzbNPfqzKYG1iDwCe3qPA=,13,34,female,9,20140909,20170909,20150904,20,8,2,0,23,45,7410.068,30,30,149,149,1,20161210,20170109,0,0
DIYxVOrJib3zkYPobhlLHje5aCUmIEyA+ZzOrWCbx8I=,6,27,female,9,20070827,20170228,20161207,1,0,1,0,12,2,4398.735,36,30,150,150,0,20160321,20160520,0,1
v39RGZAVPWYQ5o7XL55k7DT3fQ+RA8CKDLqsIHXj7gw=,4,23,male,9,20151029,20170209,20160122,1,0,1,1,13,5,3598.576,38,30,149,149,0,20160508,20160607,0,1
bRVIcIS8PUPwYgE73Q483U714q//TvtcSSRcF7E4eBI=,22,25,male,9,20091118,20170709,20150729,24,2,1,0,35,59,9653.089,39,30,149,149,1,20150731,20150916,0,1
0kYfF2YjrIQ9WheTiDC/lbsWmgefW6acuG8JHWyOKeQ=,13,25,male,3,20130121,20170711,20160322,4,2,3,3,15,21,5069.715,37,30,149,149,1,20150910,20151009,0,1
tlTGUI2zhqRH33ILWI5BZVaEz3SSXEESt97NN+O6n7A=,5,23,male,9,20150208,20170910,20160929,1,0,1,2,1,5,884.23,38,30,149,149,0,20150315,20150414,0,1
kRpF8wDgDhevSYSm+dtkpMcPGxqhSN8w8vsWQIffopg=,22,24,male,9,20070626,20171005,20150927,43,11,12,3,27,63,11359.139,36,30,180,180,0,20161229,20170128,0,1
aBMnKdtSrhWvujSTlTUEdDxfA3zYhcrt+TyS0m9Y6Eg=,13,18,male,9,20111118,20170922,20160324,20,2,0,3,2,16,3039.918,38,30,149,149,0,20170109,20170208,0,1
pcJ6posUJQRgfen8KNwPfSk2VqdwIwyOucSjHH42Ia0=,13,39,female,7,20120220,20170910,20160614,5,0,1,0,15,17,6163.369,41,30,149,149,1,20160710,20160810,0,0
wGmhtYmh/dAS5MhWJeBUqHI1AwbF40XnfkgYf7RNYP4=,1,20,male,3,20141216,20170914,20160910,15,0,1,0,35,47,9171.257,29,30,180,180,0,20160926,20161026,0,1
Ln/w0ccecmikVrmiPfnwtnBZRodTtnOjLopE9x907jo=,13,19,female,9,20090519,20170914,20160618,8,0,3,1,10,16,3381.939,38,30,149,149,0,20161101,20161201,0,1
eF6JAKJNyzHEsrHn11R7Yi0crZxasD47K3Sa0CBx1TU=,4,27,female,9,20060628,20170213,20160630,0,0,0,0,77,77,18905.676,27,30,149,149,1,20160608,20160707,0,1
qaaHyfj7sI/Qct7UI6aC4R53mf+FF/Lai/rhorHgI+k=,13,24,female,7,20131015,20171005,20160721,5,3,2,0,22,10,5062.504,41,30,149,149,1,20151114,20151215,0,0
WTGpWWTC9tpiePRtRFP3jmqsPQtbLId8HD8+8WLu614=,13,28,male,3,20150415,20170918,20170119,0,0,0,0,3,2,751.0,38,30,149,149,0,20150727,20150826,0,1
6QDTcuEmvGe+SPcQ7kuSXoRGbrOnBbfOHIfJ//AUd1Q=,20,28,female,7,20140302,20170918,20150601,2,0,0,1,17,19,3993.998,41,30,100,100,1,20150723,20150823,0,0
crzUEkgE0IS+4RIVwng1oDysheT4jYDoBCQbP/cGR7A=,15,52,male,9,20041026,20170930,20151129,0,0,0,0,6,6,3942.557,34,30,149,149,1,20151130,20151231,0,0
DCdsOlN87bu0g6N1HM7BrNnKeJvA26DqGVH8Rne1foU=,13,26,female,9,20110419,20170206,20161221,0,0,0,0,5,5,1123.401,40,31,149,149,1,20150201,20150302,0,1
dDUHJp/si63dg5GadvcVgcTFGl9ul/RxHQNbLn/Jnv4=,5,38,male,3,20120421,20180517,20160824,0,0,0,0,59,41,15570.552,40,30,149,149,1,20170126,20170226,0,0
UjcaO9SfBdbUjR5W/ZTcqkgUMlHEP98Uimm1rLgmaPo=,22,26,female,7,20101202,20170715,20160918,12,0,3,1,15,27,4144.752,36,30,180,180,0,20160414,20160514,0,0
lMXIeHHHITl2skmXwFnzg+c515Ip7MQdkyvZ3HlnTAE=,5,39,female,9,20140429,20170914,20160418,0,1,0,0,36,37,9287.758,36,30,150,150,0,20150901,20151001,0,0
erzNi7mYOgKRhL8SfXUcZT3+/TAYgM0il8SPgOuQCYA=,22,43,male,7,20110607,20170930,20170220,0,0,1,0,9,4,2609.947,41,30,149,149,1,20150704,20160509,0,0
KQ3pyHKSOcgm/ZxAb8NnjpuJH/s4D0uNt81N3X66pLo=,4,21,male,7,20150528,20170930,20161017,13,7,8,2,80,74,22266.576,41,30,149,149,1,20151127,20151227,0,0
4R6b92mhj64LDkO0g0sg7Hud4k59sBW54fNVlxiqY6s=,13,37,female,9,20090511,20171019,20170217,0,1,0,0,1,2,388.58,40,30,149,149,1,20150616,20150727,0,0
D84+97useVs+7S83nOL6j+mNFs32e0o03UanJ2ELV4Y=,13,29,female,9,20130601,20171003,20151214,1,0,0,0,13,12,3137.436,39,30,149,149,1,20150831,20151001,0,0
+faqBkykfanbEHlm53iytgxiqW26UG8yLxWSeZvPvGc=,21,20,male,9,20100824,20171204,20160822,16,16,3,1,55,80,16324.795,38,30,149,149,0,20161014,20161114,0,1
9TeP6uSjjmoYuYY++rE7bolzogRVR5rq6uCID2dkNnc=,14,21,male,9,20150223,20171005,20150705,30,5,2,3,28,61,8884.653,40,30,149,0,1,20150726,20150724,1,0
Hs3sSsmZABBTFTXaRZMRZFXmIpsoFXJM9H53osVKHu0=,13,26,male,9,20090613,20170930,20160813,5,8,3,1,84,25,20499.152,34,30,149,149,1,20160229,20160331,0,0
pG4j4ftRGOLrYjJ1gHbSvpIrXSKSL4VVua8Ywqe3OQE=,5,30,female,9,20120809,20170918,20150526,1,1,1,0,31,33,8175.178,40,30,149,149,1,20150817,20150921,0,1
bkChhGcMFqKqwr9aMyLgbp0jFH78U66rjqI3Ik8/RM4=,12,36,female,9,20151111,20171004,20151122,1,2,0,1,20,24,4527.908,38,30,149,149,0,20160422,20160522,0,1
8GWziuL60KPTyNp690UjtC0vU1aFa5dSL2OaXZk7nGE=,4,27,female,9,20060724,20170610,20160630,12,3,0,3,27,23,7753.691,34,0,0,149,1,20150331,20150430,0,0
XhFAgT3JayPvas86cZbmAdxXPQB1v9LZJ81vhzOR9cY=,5,22,male,7,20131011,20170223,20160418,0,0,0,0,6,6,1270.179,41,30,149,149,1,20151210,20160111,0,1
Jg5sTv9BDbb7bTH9nQN7YP2QXJq2+BYJ73gY8vSznIA=,4,21,female,3,20150630,20170909,20151222,2,3,8,2,0,15,2067.324,38,30,149,149,0,20160124,20160223,0,0
X+fFTkb+Rz3eT+Tq7AjPEmZEkgWyPlbGckHU+vNQMvs=,4,28,male,3,20120427,20170208,20160913,1,0,0,0,3,1,820.065,40,30,149,149,1,20160405,20160508,0,1
9n5FxFrdm9Ym3SDTPLtHot3gNs4WuMUQDvReikDT3ec=,15,30,female,9,20070829,20180421,20150924,5,1,1,0,4,10,1110.987,38,30,149,149,0,20160513,20160612,0,1
AaQH6lG3ZZixW2KZ0ALrZxIKS+OydMEAB6ZNERYvTSw=,10,32,female,7,20110208,20171008,20151122,4,0,1,0,4,9,1238.554,41,30,129,129,1,20150107,20150208,0,0
QEqzNcjl2sXkSrO/Lme3Lz1oOuMpdIThIx3C4mt6xHo=,4,31,female,9,20090206,20171022,20160824,4,0,0,0,7,5,2009.327,37,30,149,149,1,20170113,20170324,0,0
kuD14gUKHHsYpkKmongbfww39SwWjY/4hOXzPI3AwUI=,13,20,male,3,20131015,20180209,20151018,33,1,0,2,43,73,11431.662,38,30,149,149,0,20150209,20150311,0,0
EldF3YInTx7AXH7bivNn+w5wnXdpOTT+LSLqFxNPZD8=,5,48,male,3,20150812,20170913,20160202,0,0,0,0,19,19,4304.771,38,30,149,149,0,20160831,20160930,0,1
l403cvgIxF1TqPvljTsqK56ZrzVc6D5gL1B87X+vMfI=,5,23,male,9,20120229,20170914,20170118,3,3,0,0,24,19,5454.269,40,0,0,149,1,20150506,20150605,0,0
czplO6BXatye4Z72YlLTwfVrlc0qckpDSyZ2/uWXFaQ=,13,23,male,9,20111110,20170213,20151006,2,2,1,0,17,22,4927.701,33,30,149,149,1,20160930,20161031,0,1
SRUPKBftb2dpaPx9jCZH6IvvPzlxmqi7Abk2V2hTiIg=,15,19,male,4,20160228,20170615,20160802,15,3,0,3,11,32,3519.1,38,10,0,0,0,20160228,20160408,0,1
8zKlJ2ZeNezauLqL5nvOeT8uiylVyHfwirD17LuWtEs=,4,27,female,9,20080510,20171009,20151212,3,4,2,11,114,118,33352.059,40,30,149,149,1,20160306,20160409,0,0
fSUJll6HW9h3ucnz5Tupd4MF7pcIQwgHDZr4gLoDEhc=,13,22,male,9,20070513,20170927,20161115,0,0,0,0,5,5,1045.172,38,30,149,149,0,20151217,20160116,0,1
7msRwCJogfMh0sCiBy1wmuk5DOVfx4lJgU2HMmQNjX4=,4,24,male,3,20150717,20170923,20170201,1,3,0,0,0,4,191.22,40,30,149,149,1,20151224,20160123,0,0
cnNR4Atr/qEbEIykmEOz1KSdiw7kfq5N0U2RBuwqK0I=,4,30,female,7,20120119,20170925,20160831,1,0,1,0,30,30,6782.887,41,30,149,149,1,20160918,20161019,0,0
QSJtMhPXdGmfyvHMy2S7o2FNmho69WuRpll2KCHX3rA=,13,35,male,9,20111202,20171003,20161026,0,0,0,0,1,1,237.609,37,30,149,149,1,20160202,20160303,0,0
YGWGx7L7RIeXiuromdX/2gpty8eWuuxTD9LyP22rC7M=,22,20,female,3,20130201,20170915,20160122,11,0,0,0,8,14,2095.167,40,30,149,149,1,20150628,20150727,0,0
KdI7xCwNBTs/zcxdMqLMsjWdpI4gnHwic3NfdRq7vV0=,6,21,male,3,20140212,20170810,20160220,0,0,0,1,77,18,17113.72,38,30,149,149,0,20160718,20160817,0,1
gidEc+IdMIFWRBkJFmyV7n1Va7Qi2jgc9j2CgYxgDVM=,5,25,male,9,20060406,20170205,20160523,2,1,0,0,14,16,3049.237,36,30,180,180,1,20161031,20161204,0,1
P5zVMs/HjSuwMpewtLpH6GFnz8QekuzUtPCgH3qptzA=,13,18,male,9,20150106,20171006,20151211,3,4,3,1,59,34,13757.312,38,30,149,149,0,20150611,20150711,0,0
4KLjQMWmHwfReTbiUHeQl3cYemnjv/FgpDMx7IvBfZ4=,4,27,female,9,20120619,20170709,20150228,1,0,0,1,13,15,3574.92,40,30,149,149,1,20161219,20170120,0,1
JAtdZ1Mdbqy1VPy7mBRBUCUj6poz66LOLGPf1ejVc+Y=,5,30,female,7,20110605,20170218,20150130,0,1,0,1,17,19,4605.156,41,30,129,129,1,20150804,20150905,0,1
gidEc+IdMIFWRBkJFmyV7n1Va7Qi2jgc9j2CgYxgDVM=,5,25,male,9,20060406,20170205,20161003,0,0,0,0,15,15,3211.505,36,30,180,180,1,20160430,20160531,0,1
DvxvkMXvY/BK5fSBOWX5GMtcj9rOYKN4/cb+bSyhzIg=,15,27,male,9,20140614,20170911,20160310,11,12,3,5,16,31,7045.497,38,30,149,149,0,20150607,20150708,0,0
9WLXx9e8Z7ve4hjeUNQHCV98JyNug5prJt/Zf0HOsFg=,8,33,female,9,20100417,20171117,20151219,0,0,0,0,3,3,724.65,38,30,149,149,0,20150106,20150307,0,1
h3I6lhxOyZRWcqiiFwJy0bMKqtDJE9hrY+G1J0vwiDw=,15,18,female,3,20150203,20170917,20160406,8,3,1,4,34,35,10057.52,38,30,149,149,0,20160816,20160922,0,1
apsDErk0cxR3/Fe1EE7y85klfDtIRHa9i06VTy2lYYc=,13,24,male,9,20080828,20171006,20160626,2,1,0,0,77,74,20179.723,37,30,149,149,1,20160127,20160226,0,1
JB8ehHeze/7Vt/AZPfEoESKqgW1GEKCBVTucjPN3T9E=,14,19,male,7,20131107,20170909,20151228,17,4,4,1,16,30,5789.046,38,30,149,149,0,20161013,20161112,0,1
bTplk9So0DEFLPHSxRyI8/vo4P7EBhkxkamyFYjjw68=,16,29,female,3,20120913,20171008,20160519,0,0,0,0,44,44,11034.92,34,30,149,149,1,20151231,20160208,0,0
+/o1K0v6t2cGYPuuCviNu+EZaTBn/HKt69lpnSCvmKU=,1,36,female,3,20150314,20170926,20151119,0,0,0,0,16,4,3457.259,36,30,150,150,0,20150406,20150506,0,1
ZuQGsF/7l5YCYbvxl59ikJiayn18Lg2i0CPLrIqCJsk=,5,35,female,9,20040327,20170930,20170211,0,0,0,0,12,12,3075.0,34,30,149,149,1,20170228,20170331,0,0
nj726q1VdXDl/3hOfhaA1kuPhL8UUzkWeXiTpMp6W3I=,21,24,female,4,20160313,20170926,20160805,10,2,2,1,14,25,4382.127,36,30,180,180,1,20170227,20170326,0,0
DZq/uTNxKDdl5ylOjU/iTCreej8KGYvCQcE3cNdpBTg=,15,27,male,9,20070511,20170930,20160226,4,1,0,2,19,19,5494.149,34,30,149,149,1,20160531,20160630,0,0
JbV71w2JqxYIYB1vo6Nrmae1KMujP+3vMloDmmOu9wE=,22,21,male,9,20110316,20170915,20151104,4,0,0,0,16,18,4164.206,38,30,149,149,0,20160615,20160715,0,1
sLDLSwzsMwwa5UpCy8g/WFaNPrfFb1oZvbXaANKw4QM=,13,28,female,9,20120703,20170610,20160418,8,2,0,1,37,29,9527.767,40,30,149,149,1,20160906,20161009,0,1
DbVcM9WIK9eMFzbHhYbLAEoIo5XAzl4YJsNxUOpeJ9k=,5,18,male,3,20141128,20170925,20160220,1,1,1,1,36,21,9339.739,36,30,150,150,0,20160314,20160413,0,0
3+HpeC8bKHqE2yroWEiCbaP02q1HcBnpQHtXpHtwaLg=,13,24,male,9,20140503,20170915,20150618,15,4,0,5,11,31,4537.804,37,30,149,149,1,20160616,20160715,0,0
WTGpWWTC9tpiePRtRFP3jmqsPQtbLId8HD8+8WLu614=,13,28,male,3,20150415,20170918,20151026,0,0,0,0,3,3,822.195,38,30,149,149,0,20160425,20160525,0,1
