msno,bd,city_1,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,gender_female,gender_male,registered_via_3,registered_via_4,registered_via_7,registered_via_9,registered_via_13,season_1,season_2,season_3,season_4,days_1,days_2,days_3
MZbFvR6v1edgG6FdDsRJ10IkIUFGiDuUndrSBXqmcWU=,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
QsDmUcvtQjimc4vNF8qQ0tE09I3sSfE6HNNs1cYNFo4=,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
RcuO1utV/sUkYKHJIy3R4+47fkaQba9toLTSVrwVV/w=,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
LEnVoTuu6KDG/yvr+2Qc52f/X+RC/gpMyFhu050mIVw=,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
QwwWSa+OgtE/EveHgi5gst0yjgd1gYNma7TAxwYZAkg=,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
Ru6Zvf7/ocfphgVAlztOCKcbjGlFhKbPcTp5yEudqQ8=,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
UGo5J85Z7/EGIerhagQ/BwgpuXz0P8xxgLQ/IfmxYGA=,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Ljl2Xd7MhTkuT2FTcmt8Y5vLbj+KwLDkNy8HiSdCS7w=,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
M5t6w/+nlnVIDzSDnYA3vQloE+BIuO432xsu92bHKN8=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SW6U9y+nrsDJcW5Of8RvgzPXNSYo09x4NM9hJX7WWkM=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
SRNCNFNcyq2ii1DILsweIJe52NuOGxGhrqq5XNkcA2E=,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
SksagsHWe9L0G/97YjxVFbnIl3SE0p39k5PaqpHAEx0=,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
LnFWGC7sGklHiymKBvsCBVtO9KoNBjWsDORHKeuUveQ=,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
LXPOsixjHdeDilrsJLvCP2JZODsfipCG8qgGHCt8MnI=,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
LjCEFzhWbW3cYGZuWz40xilT/Nr1vmdiFc+ZppEec4I=,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Moy7pR+cH0ZvHcdQSZFiyEoG82mSEAW5U1Lnz4fOw9M=,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Q9JixZuBnEbLs6ypl6nSmYVRsOca7PQ5VYZbEv6GbRY=,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
SD4usew4YqDpN0PgtkYqYUeJ7C7uNNzEM9WU8QCUZ3Y=,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
STvvjL13gC8gZl+ci2GlgvJBku27KA+gDLvrpS/9stY=,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
TkUMYDtW2Z8Wj2z2Dm9OOr/hYc+VWlwEVH3RJYpqJvA=,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
LMqJXsTmLqnPg+bsemIbR+3u4GtADQOXf/qgK2GNIjE=,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
TiUVjcm6v/sVgaCOkIcRQML/h4XPjyZHcBDUmuR2G1k=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
UfxdmeCorEYDFUnXvUiJUERAaZMdlNpUJdUtZEa0pFA=,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Uq4joMg75bJiE1TKbU+KLI/yrtgWyLSj4RVXVbUI+sw=,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
LrCTitBOXSYGaa5+LVU5RG5LNduYHUtoUvePlCKBp5g=,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
OkoFFfbpspb9+W4wd+XqssBOfC90NVsDXw/yGDF9QTo=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
KFTxv4cv8RPniwMl9PyRSCa6avJfxfmPSEffuNnxvIY=,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
OuV0kt9Gqf9Mkkl591PyP3xWZQY1nvDxCqrZa6/9ew0=,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
PjU9UiZT3PCOtzyITLLbae7pqdxGWCXKHSq6zY5RuSg=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
QcDBvoFf2cwR0Gm0rstorntrYiNOVIXkbTP98k700g4=,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Nrg7Ie0vPVIQ8LW0RsWbBI0fJNqjH/K12rdD7YNux8Y=,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
TuNJDpMpHDQU/J7K34LiukQqhjCbKH1ZCpU7OzJklII=,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
UcQhoQL83ci7QXejO52kRx+by1HbCkRJuQ5W2mJolf8=,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
SzzbyJUEaQmGZuizQ5/Grq9BBshzCATJZHnqugbB1H8=,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
P9fOCpWjkl9RwabAoN+vgNybwHbwWV4Ez5nQKr+f4sc=,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
OcXLsBuhtMf/cAPa9sQzQudcAFNMuHUFh8y9Li8686w=,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
JyDVr3YvprYkjipYBkcnL0T8XyWMyexQqOh6CHK9PjI=,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Ml25efr/zOFRy+877Wq0hwnT7TY1KMufNp9ZfMyvHTA=,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
MEBAnB0nvHQIZzEYEGgVYIm0m1tE7WtnqPhRzZLJTH4=,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
SM0eHQbW7nuvRjVr8syd88dBTsDUZaqyuTiKuLtSC7c=,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
S3nrLRSbz9jF1itKcBXoMOk5JG719Ipj3mZR8cNKOIk=,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
SciBPUavgH8Ia7Ht5g+QG5lQMK7PyXBUH7rmbCN7ViQ=,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
LAexOBpnTIrmac8yy/uh3lYscDGGEU7eUcr4gKVplRY=,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
QGArJuN935IV44MRsJngn/2n/mXLsDaBulxMHpyCzY8=,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
T3P/OVv1ODzhrXfhX8u62jmlnN8x8KDD0grTCOYjGHE=,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Pw3iaTRIlt4Wx3eFScovsQrR60az9ZmzR1JOuJBu6iQ=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
QiI3j7pEitJwnM68j8OOUw2sbpr2hMmjXmVIvlBM70I=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Q4ZWOJkjLz9XdyyUq06/3sXE1cOTYPlIiYo+w6swu7w=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Tz8cxn/k/bbysj4qXX9MPGgefMG5nXUNVX3TlgTRi3s=,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
RVR6AW/vJTwwzOCvzWX/BDAU3XQ8EShUt8SKmEK5BEc=,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
RSyKXiRcjsupAc50c6fwNNhYryeFdkaiTIyNSIb4ogI=,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
LeIP9zHMoPMAPv3QKmd+RSPbWKqpHndkKE8pbps7lZA=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
NyDUF7QKtmDu2Fl496S+pooXmMnlAxMJ6P498daK4U4=,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
TxIopCiAMPXqf+Z9+1R5s2eYyZDOkPZZOZwgB6Gdv3w=,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
U2zkAxc0YoMV6zAb0qJFaAvx1AQu/BTG5ZWKEdsViL8=,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
McLur3uUUZvzQl722w2KACO6RqWNB25btg6OMPSuBC4=,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
SCzZ3DnIPHyzZFBBzvIiGlM/WH6nvslsIl2Ti1Jx76k=,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
MWtzr9SFAZ0sYk1xBSE58q0EB+qJxTp57M2NTDVVKKE=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
KpSyvzQBPobhT9MfmS/lmJ0hGsQ82Hyy6PHrwpkP/e0=,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
RYt3lUZ4j61mfAbbypUG51Oq7TPwCR9Jsk4Iz66DtC4=,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
LAougaIcXEsSNGseKZpogDYffuZrwr66aDugi3uSAK8=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
U3ajEgA7AOnoXpoUxYEGEFHhxJxbqqZCQf83qh0s5v0=,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
UlZCAUG+UPVAMYYxiWYaMINWpnundJEpcHYN7TokvsQ=,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
S426o4SjQYIf1aolvgsmSzVBmwU6ghMXoCXYRmgaVMA=,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
SkihnOTFo4t8PNzwpyohAGCJJASWVemlGVm0/ILc/G4=,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
MO+FqAGMMFDGnNzAYXLv034UpILBuLPVaYfIPASrPUA=,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Owd8jDKrhxgawiPNWkVGGgIhIBc/ixFnSAz22lx5Cfo=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
P07m5C3CV8I+XpMSS0OQHtaDJSHigiGhF9s/SwMe0Gs=,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
K63DVzl+qTTZzru8B9MtXy4KcTThbIG9ROxtKWBPSF8=,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
NGbOG8ePQls7d0lOPvTEDH3mQ427KBcjGVzgOBOA3QE=,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
TO444pAYnhvlqEQJ1udfMMwYQsIOObeG5Ch3/pZlsJc=,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
O/yWGrVp49gVgg9YmU+1L5ijGve3zqBwPnHB24XHQO4=,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
L/Z0rAzLgLsAjev4MOEX0n/siGKNwYITbCofn/HVvdQ=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
M6ylBEo9LXr/7a/0CDljqQwlRzKNOlwfToRBa2yaOyY=,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
KsUiTBCIo1FA8iwYpZiqrWAHYHUCJh/5ux/DRdcfqEU=,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
KhlTVR3pj/5UMYn0tozSMFaUZwn/v+IEz5dpMbyVJi8=,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
MARiEJka49RDyXptP3tVcypBL5R8Jz1rv7jGAH0qnqM=,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
QFICTlkvjq6zqjB7clfkpicHL1h8MFgV0h6TiPDmTiw=,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
MlMb69g8ER9JhDhY/0wuXvdKbYlGbkuXi1yIn++NklY=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
OlykNlfyPq3qqmqsMRTUJj0C1+7momjm7nMZCLmZ78g=,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
OQYSV9kvow12AT2Z4gzajXwGU3VHDReANhfDui5nB+k=,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
MlTCs3/jqT/xID6yw5L/MNbCw4YA3IE344xhwqYfyu8=,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
MTZln9QgN82uE0xznneBfkVWtuzCPn267k1ZbjPZaOQ=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
TM5aLD+TqQ1X0smpl9Lz31EGKVC4dojJ6fJCYobdaCI=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
N5nutEjVVGuplPV61NUWGB8jrd/QV4qdmDM+W8sIpXs=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
McmIzOeTOSEBjiWvccPYrIG/DnXUdTS9TCa11htRO1I=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
TzTj4JAzotD8ajsw1nYnqs2bf7NsHVxo4sU7wZKWnsY=,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
SMPq/dC5yHWfCe3quTq8vhrCBwykLIvR38Z9TOac3cU=,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
REOTlDfP4VPIsvXdg4l/E9j8zhAeE+U8eMQy/ycyBG8=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
LjSU+5uY55i0jVpv4W0LM/FejO5YwB+0OEiP2pV3Lmc=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
QDw9F2zx5Vk8yqMdcAvxwsGNAa2ixFNRBCO1jRqPysc=,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
OBcJOwg89TxQ/vKjCWxAzp4ZPmDILJvo1nmztEZoD7g=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
QwjZpNgU6HEQjEmwWrgWR0T8FOZmwj8moiIMA7qN7fw=,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
SwlrSivYHoKF9V5wm1YYYAnjHpd9y3OPjI9rDUhGJ3k=,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
NQ0fDFpAxIi+GEIgZNXhklfyizkQqjkPt4U8AFeRe6k=,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
OcabHa586q7FoK/OSjgSF8XuxvDro73CWTMiAUTVoUo=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Q5caQMypJ9lvE3k6UmwsRBiJAP32m3WsiYEK4ABZyJA=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Sip142WcX5rp6cTMStyAe/nyzCgnC255dIlTTHgIy74=,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
QFFpkaPgl9jQr8THXhWse3RZDPItu1IMXMO5qd6xZ30=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
TQU/yD3IQ0PKTp8m/xborxy+IF8guWAGpBc8gDHjnL4=,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
L5EI04qB/GMv+phzpPv+vZhTzWs5+WG/m9fnrGlYC1I=,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
U+jTIJcOXxW9glfbPbRbeGl2RI0m7sgee04w50tjR7Q=,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Mlhwo1O4rqE+VBrnfiFj8fqjV/S319y5tJ+jQT9UqQQ=,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
QRswPEPv0JyaBhflr5iSFD7e9Cgx7qoU6rhYW3+daqM=,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
LKea6okn3x9pljbepdfTwiW5vMCVMs6rLyhXXYccbcE=,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
TsTVjHIK96SDUuaJ+YtQU3ALUZZevDoAB3RAr6ge7w8=,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
JtJKick9CJ1R6ln3JgPhb6SqXSJJuhNNpbpBrsOMf1I=,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
OE6ShnCRfwODoqPLeI5QzkrjtNcovYtxkhX8uGvqiDw=,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
