msno,city,bd,gender,registered_via,registration_init_time
Moy7pR+cH0ZvHcdQSZFiyEoG82mSEAW5U1Lnz4fOw9M=,17,24,male,3,20150119
Q9JixZuBnEbLs6ypl6nSmYVRsOca7PQ5VYZbEv6GbRY=,22,20,female,3,20150121
SD4usew4YqDpN0PgtkYqYUeJ7C7uNNzEM9WU8QCUZ3Y=,12,0,,9,20140819
STvvjL13gC8gZl+ci2GlgvJBku27KA+gDLvrpS/9stY=,15,22,male,3,20140913
TkUMYDtW2Z8Wj2z2Dm9OOr/hYc+VWlwEVH3RJYpqJvA=,13,0,,9,20141006
LMqJXsTmLqnPg+bsemIbR+3u4GtADQOXf/qgK2GNIjE=,13,27,male,9,20110514
TiUVjcm6v/sVgaCOkIcRQML/h4XPjyZHcBDUmuR2G1k=,1,0,,3,20140223
UfxdmeCorEYDFUnXvUiJUERAaZMdlNpUJdUtZEa0pFA=,4,27,female,3,20140310
Uq4joMg75bJiE1TKbU+KLI/yrtgWyLSj4RVXVbUI+sw=,15,21,male,9,20150101
LrCTitBOXSYGaa5+LVU5RG5LNduYHUtoUvePlCKBp5g=,8,21,female,3,20150106
OkoFFfbpspb9+W4wd+XqssBOfC90NVsDXw/yGDF9QTo=,1,0,,9,20150930
KFTxv4cv8RPniwMl9PyRSCa6avJfxfmPSEffuNnxvIY=,13,17,female,3,20120206
OuV0kt9Gqf9Mkkl591PyP3xWZQY1nvDxCqrZa6/9ew0=,5,17,male,9,20111113
PjU9UiZT3PCOtzyITLLbae7pqdxGWCXKHSq6zY5RuSg=,1,0,,4,20161204
QcDBvoFf2cwR0Gm0rstorntrYiNOVIXkbTP98k700g4=,13,23,male,7,20130918
Nrg7Ie0vPVIQ8LW0RsWbBI0fJNqjH/K12rdD7YNux8Y=,4,27,male,9,20070420
TuNJDpMpHDQU/J7K34LiukQqhjCbKH1ZCpU7OzJklII=,12,0,,3,20120928
UcQhoQL83ci7QXejO52kRx+by1HbCkRJuQ5W2mJolf8=,13,35,male,9,20090205
SzzbyJUEaQmGZuizQ5/Grq9BBshzCATJZHnqugbB1H8=,6,31,male,3,20130124
P9fOCpWjkl9RwabAoN+vgNybwHbwWV4Ez5nQKr+f4sc=,5,22,male,9,20130227
OcXLsBuhtMf/cAPa9sQzQudcAFNMuHUFh8y9Li8686w=,22,29,female,3,20130313
JyDVr3YvprYkjipYBkcnL0T8XyWMyexQqOh6CHK9PjI=,22,29,male,3,20130317
Ml25efr/zOFRy+877Wq0hwnT7TY1KMufNp9ZfMyvHTA=,6,19,female,4,20170202
MEBAnB0nvHQIZzEYEGgVYIm0m1tE7WtnqPhRzZLJTH4=,13,30,male,4,20160831
SM0eHQbW7nuvRjVr8syd88dBTsDUZaqyuTiKuLtSC7c=,22,26,female,9,20070807
S3nrLRSbz9jF1itKcBXoMOk5JG719Ipj3mZR8cNKOIk=,5,50,female,9,20091229
SciBPUavgH8Ia7Ht5g+QG5lQMK7PyXBUH7rmbCN7ViQ=,15,24,male,9,20110812
LAexOBpnTIrmac8yy/uh3lYscDGGEU7eUcr4gKVplRY=,13,32,male,9,20090803
QGArJuN935IV44MRsJngn/2n/mXLsDaBulxMHpyCzY8=,15,49,female,9,20091006
T3P/OVv1ODzhrXfhX8u62jmlnN8x8KDD0grTCOYjGHE=,5,22,female,3,20141023
Pw3iaTRIlt4Wx3eFScovsQrR60az9ZmzR1JOuJBu6iQ=,1,0,,7,20110624
QiI3j7pEitJwnM68j8OOUw2sbpr2hMmjXmVIvlBM70I=,1,0,,7,20110809
Q4ZWOJkjLz9XdyyUq06/3sXE1cOTYPlIiYo+w6swu7w=,1,0,,7,20110825
Tz8cxn/k/bbysj4qXX9MPGgefMG5nXUNVX3TlgTRi3s=,6,36,male,9,20050324
RVR6AW/vJTwwzOCvzWX/BDAU3XQ8EShUt8SKmEK5BEc=,13,18,male,3,20121222
RSyKXiRcjsupAc50c6fwNNhYryeFdkaiTIyNSIb4ogI=,22,27,male,3,20130112
LeIP9zHMoPMAPv3QKmd+RSPbWKqpHndkKE8pbps7lZA=,1,0,,9,20150507
NyDUF7QKtmDu2Fl496S+pooXmMnlAxMJ6P498daK4U4=,4,32,female,9,20070522
TxIopCiAMPXqf+Z9+1R5s2eYyZDOkPZZOZwgB6Gdv3w=,15,23,female,9,20090205
U2zkAxc0YoMV6zAb0qJFaAvx1AQu/BTG5ZWKEdsViL8=,6,22,male,9,20090310
McLur3uUUZvzQl722w2KACO6RqWNB25btg6OMPSuBC4=,5,23,male,3,20130211
SCzZ3DnIPHyzZFBBzvIiGlM/WH6nvslsIl2Ti1Jx76k=,14,25,female,3,20140508
MWtzr9SFAZ0sYk1xBSE58q0EB+qJxTp57M2NTDVVKKE=,1,0,,9,20140617
KpSyvzQBPobhT9MfmS/lmJ0hGsQ82Hyy6PHrwpkP/e0=,13,18,female,9,20170113
RYt3lUZ4j61mfAbbypUG51Oq7TPwCR9Jsk4Iz66DtC4=,13,28,female,7,20111113
LAougaIcXEsSNGseKZpogDYffuZrwr66aDugi3uSAK8=,1,0,,7,20141010
U3ajEgA7AOnoXpoUxYEGEFHhxJxbqqZCQf83qh0s5v0=,4,38,female,9,20060307
UlZCAUG+UPVAMYYxiWYaMINWpnundJEpcHYN7TokvsQ=,4,52,female,9,20090426
S426o4SjQYIf1aolvgsmSzVBmwU6ghMXoCXYRmgaVMA=,4,25,female,9,20070704
SkihnOTFo4t8PNzwpyohAGCJJASWVemlGVm0/ILc/G4=,13,42,male,9,20110530
MO+FqAGMMFDGnNzAYXLv034UpILBuLPVaYfIPASrPUA=,13,33,male,9,20140210
Owd8jDKrhxgawiPNWkVGGgIhIBc/ixFnSAz22lx5Cfo=,1,0,,7,20120403
P07m5C3CV8I+XpMSS0OQHtaDJSHigiGhF9s/SwMe0Gs=,14,33,male,9,20060526
K63DVzl+qTTZzru8B9MtXy4KcTThbIG9ROxtKWBPSF8=,6,39,female,9,20070707
NGbOG8ePQls7d0lOPvTEDH3mQ427KBcjGVzgOBOA3QE=,14,25,female,9,20070827
TO444pAYnhvlqEQJ1udfMMwYQsIOObeG5Ch3/pZlsJc=,5,63,female,9,20071210
O/yWGrVp49gVgg9YmU+1L5ijGve3zqBwPnHB24XHQO4=,8,24,female,9,20060708
L/Z0rAzLgLsAjev4MOEX0n/siGKNwYITbCofn/HVvdQ=,1,0,,7,20151212
M6ylBEo9LXr/7a/0CDljqQwlRzKNOlwfToRBa2yaOyY=,4,36,male,9,20130408
KsUiTBCIo1FA8iwYpZiqrWAHYHUCJh/5ux/DRdcfqEU=,22,38,male,3,20130518
KhlTVR3pj/5UMYn0tozSMFaUZwn/v+IEz5dpMbyVJi8=,8,28,male,7,20140625
MARiEJka49RDyXptP3tVcypBL5R8Jz1rv7jGAH0qnqM=,15,46,male,9,20060828
QFICTlkvjq6zqjB7clfkpicHL1h8MFgV0h6TiPDmTiw=,6,25,male,9,20070209
MlMb69g8ER9JhDhY/0wuXvdKbYlGbkuXi1yIn++NklY=,1,0,,7,20110512
OlykNlfyPq3qqmqsMRTUJj0C1+7momjm7nMZCLmZ78g=,13,36,male,9,20060405
OQYSV9kvow12AT2Z4gzajXwGU3VHDReANhfDui5nB+k=,13,19,female,9,20150507
MlTCs3/jqT/xID6yw5L/MNbCw4YA3IE344xhwqYfyu8=,5,23,female,9,20040801
MTZln9QgN82uE0xznneBfkVWtuzCPn267k1ZbjPZaOQ=,1,0,,4,20161211
TM5aLD+TqQ1X0smpl9Lz31EGKVC4dojJ6fJCYobdaCI=,1,0,,7,20100509
N5nutEjVVGuplPV61NUWGB8jrd/QV4qdmDM+W8sIpXs=,1,0,,7,20150829
McmIzOeTOSEBjiWvccPYrIG/DnXUdTS9TCa11htRO1I=,1,0,,7,20161118
TzTj4JAzotD8ajsw1nYnqs2bf7NsHVxo4sU7wZKWnsY=,5,27,male,3,20150714
SMPq/dC5yHWfCe3quTq8vhrCBwykLIvR38Z9TOac3cU=,8,26,male,9,20090627
REOTlDfP4VPIsvXdg4l/E9j8zhAeE+U8eMQy/ycyBG8=,1,0,,7,20151114
LjSU+5uY55i0jVpv4W0LM/FejO5YwB+0OEiP2pV3Lmc=,1,0,,7,20161010
QDw9F2zx5Vk8yqMdcAvxwsGNAa2ixFNRBCO1jRqPysc=,5,50,male,9,20070420
OBcJOwg89TxQ/vKjCWxAzp4ZPmDILJvo1nmztEZoD7g=,1,0,,7,20151125
QwjZpNgU6HEQjEmwWrgWR0T8FOZmwj8moiIMA7qN7fw=,6,23,female,3,20130128
SwlrSivYHoKF9V5wm1YYYAnjHpd9y3OPjI9rDUhGJ3k=,22,26,female,9,20040904
NQ0fDFpAxIi+GEIgZNXhklfyizkQqjkPt4U8AFeRe6k=,5,29,female,9,20120824
OcabHa586q7FoK/OSjgSF8XuxvDro73CWTMiAUTVoUo=,1,0,,7,20101001
Q5caQMypJ9lvE3k6UmwsRBiJAP32m3WsiYEK4ABZyJA=,1,0,,7,20130803
Sip142WcX5rp6cTMStyAe/nyzCgnC255dIlTTHgIy74=,8,18,male,3,20130729
QFFpkaPgl9jQr8THXhWse3RZDPItu1IMXMO5qd6xZ30=,1,0,,7,20161202
TQU/yD3IQ0PKTp8m/xborxy+IF8guWAGpBc8gDHjnL4=,5,37,female,9,20100420
L5EI04qB/GMv+phzpPv+vZhTzWs5+WG/m9fnrGlYC1I=,8,23,male,7,20120214
U+jTIJcOXxW9glfbPbRbeGl2RI0m7sgee04w50tjR7Q=,5,0,,9,20120426
Mlhwo1O4rqE+VBrnfiFj8fqjV/S319y5tJ+jQT9UqQQ=,22,31,female,9,20141208
QRswPEPv0JyaBhflr5iSFD7e9Cgx7qoU6rhYW3+daqM=,13,0,,9,20150507
LKea6okn3x9pljbepdfTwiW5vMCVMs6rLyhXXYccbcE=,5,31,male,7,20100925
TsTVjHIK96SDUuaJ+YtQU3ALUZZevDoAB3RAr6ge7w8=,1,30,female,7,20101012
JtJKick9CJ1R6ln3JgPhb6SqXSJJuhNNpbpBrsOMf1I=,1,0,,9,20141106
OE6ShnCRfwODoqPLeI5QzkrjtNcovYtxkhX8uGvqiDw=,12,27,female,9,20070307
LEs1+Ukyi8ZPoEQQgSWfni4MO9qC/g1f5HbNo0ifDOs=,14,26,male,3,20130826
KHkNnuxb94kolN+g62ejWnb0ob/uILyggd4zZl80oUQ=,13,48,female,9,20110816
SoyXmYjQfVuvUvs683+pIort1LttnuYAaVQfrIK4C4Q=,1,0,,7,20101223
K4GhDvSZ6in7NiIMo5lrAWv+1j20CZlq7gDluVfD42k=,1,0,,7,20131120
KWPDCrTdrqqUlt+OsJCTVezJVVbw2ykZe6/fBgJovkU=,10,32,,3,20140706
Nybm9BCk7L0kBOuATGXg1Iwif1Ojmn1QkDHjxp5XnKk=,4,28,female,9,20040630
LlMVejthDRQTuSTIoM7ebAQ+Uyw1aJLWqFxsQPDHpwE=,9,45,female,9,20040717
LZmn+hXRuxhuKRHiMVtWddfUH630l6u6pqXAmCkAxXQ=,4,28,female,9,20040328
KcppVfv78/zqF8HbQsI5RBszb8b4oMiM5HchqbFWJPg=,8,0,male,9,20040920
OsdhnnIlNzaJo1wr4hWAK3So8QFNuWcT1x5+I0JerWk=,11,27,female,9,20050627
KHmiLD6rQ8mLancUilZ+7K9sEzkemSgfuow6gBCi5y0=,12,30,male,9,20060427
MnkrugkdYL01zUxZw+NXHBLSoZhER8RQSJMWx3318QU=,6,25,female,3,20140916
OFvJPFYn7h0d3SXi8j/y9Dyb+SqEu8YKoTnt8Fz1pUQ=,1,17,male,3,20140924
R8yPsZWpNWip8GQHss4fYfXi9duy0x+g1UAMGtEitzU=,9,27,male,3,20140510
JodTW5O90JgTRhLQd8+NlXDuoFZy+aQZJ9IZ/l1LKz0=,6,22,female,3,20120915
RUxBmpB57iC90WFyRnJ7Ytln5Kiukukcwnsw+98RNkI=,5,35,male,3,20121012
MsN+29O7mCtvON0c/yE3OEDxumQ39OeejYswkc4muos=,13,30,female,3,20121221
TdQxUwD5n1n4tveOOrjJVk8CCrH2sU9WNzJkdusfJGE=,1,40,female,9,20100305
Q+Lejy7inDIEJZAy3c2p9kDUSF5vX9+od5rE1U58jb8=,6,34,female,9,20100320
JrAoX5MaprtitSSnAxkHjjzkuENdbT/ePkow6JDAdy0=,1,0,,7,20130815
RYokAS0xDRlMprwKEDcnxoTVqC8+tG+GpzlOC4XT33I=,11,28,female,9,20101203
Rim0ofT2EfAk4C8jvP4puTETQvAKbWfZhXPrWwnbDGk=,1,0,,7,20111223
UrfZV3Ztj6vPZpHbTATGWgi6zgSfTZgz4/2EfI0Xl4k=,22,24,male,9,20121227
K6MAjBOeJWypy0x8R1xu88ooCVU3IvC0JdIcYLEgEn0=,14,19,male,3,20120527
NdtAkNF+NBsDZp30pSQfHLAdLZfytDF2lidqDeG7aAc=,14,39,female,9,20060219
Orq9q63eb0r+M8Gmgl6chqevNdAxsLRZqrEF1HrjKeU=,13,36,female,3,20140107
T7q36UvpUhBpaPiIobaVAlxzlRLc6qIF6za5v9h8oZ0=,1,0,,7,20161208
QwHmgE8Z9ec/Rw6ZPyVChDbelU7HOlxywvucxAvqOYc=,22,40,female,9,20110910
Ns7MrJzUKUf0Zs1qAv3fyn75c01qfuOByM21+yKVvzY=,13,30,male,9,20051030
OHsTnWTHh1tEdbkJZ9CV8tM1Uv3nI8QnxMKvt9TXaMo=,3,35,male,3,20120125
OPDJFnKBDMiwgirFG5r2LtIbK7Clt3TwAqat+sUq6+4=,13,24,male,3,20120402
Jt3XknJYwMuqIFf/zus2xl4uMUng7p41rdAENsg6hEg=,12,31,male,3,20121114
TaW2wehJraqYS53YfBnBt1YplzUPWuq7lGBh1+0Py78=,22,0,,4,20151205
TMmE8MIFTk6vHX9Sq4Xoz9ttcO8sVc5nB9LCjzqCjzQ=,4,36,female,7,20101227
KhL2fRXrim3hsuV0pyh11aBGzCgHePbD9xu5kuzrdMc=,16,36,male,7,20110304
R/pvObMd92DZfD1xELVDsfHp3hkEATJP4eKEBef7PlU=,22,32,male,7,20131119
Joj+Eq8XP+WKpwrz3ezTY4kWgYWNxoHoH0/ql/zgoIk=,14,25,male,9,20070211
QWXPRpIuTObec+40EW4krXbXGXpY61X/iOG1WMNLqfE=,13,24,male,9,20101124
Se7pa6L4bVCulLFWB8IMzyk0Pn816fawcrTovcjOxts=,13,0,,9,20100518
S1o+8pu5uPg/wsuzDkx3JjzjUM+8oNXI8U+7Nsf1QTs=,1,0,,7,20100707
UWHpvEKO2R51ukmjhs/3+PsB2JxiuGiynZUzlLEuqcA=,4,29,female,3,20120130
RzdroKmShJz47DB8TP0fgXB0DZqWhbBTfbvLSCG44oY=,15,18,male,3,20130720
OijatW9N/l4IyUkz1CoO8vlLeKobhjCkLsY2L/5T4h0=,1,0,,7,20130812
RMnfkAJrGQE34VQtgIb7t2DwUeH6LvF5GSddArfs1KA=,13,41,male,9,20090113
QV/NVpGbftHeGH3rzrFptn+8u6mSrItCbZvu2xtQ3qo=,5,28,female,9,20081015
S2oF3QoHLR7e9EkjuVZN3HONGDb+ZlYXmZvva6e7yyM=,15,33,female,9,20061101
QkP34LP0Icc9AaxbMUVdZIp9O21nNUdmj1iwwBXhzXA=,21,34,male,9,20070412
OIu2N8KhJk//ntJocq0MHErEevEGPqvZgWdfx2sx3iw=,8,36,female,9,20060529
K1X+9q0UWd0VdMPSYfnKwAFfk3JnyfCOpV7y4sIoQLo=,5,0,,9,20160104
Q5obtTSJttgyKsDyLkKRWVUxP1bt2XhjN8098DnOA3Q=,1,0,,7,20151111
SVIzxJOtMKk3n8MA+980oHaS6Uqyja3ZOC55Trxx2Dk=,13,27,female,9,20141113
MxIcmMnN/a39RbVMPhmln5gXg+5Pk7HXYPuY0s8YN+E=,9,33,male,9,20111215
Q8RhC2PuPZT5O+8oTI9VXNjNY+abAfMowksjVG/w6dU=,1,0,,7,20161222
V2BPx6pd2RkBFAATuNROdnxiSETxDVAaCBamnmCtuVE=,5,64,male,9,20130122
RevMSutLV3Ej6K6O2drLpeKy5I6d0cremu0woWk0WA0=,9,52,female,9,20100405
Na+EEWALb0V4mjuFkeAzipA5Zu9s5cRkFhb0WP7Ur8U=,4,35,female,9,20100417
My63I2o8DcUbhL0M+5RmreigjZLiAta4F0OpzespzGA=,1,0,,7,20141203
Sikeg8J6M6gPyGnTpIt1a/BU5K3pihk1XZ9IHbj56zE=,1,0,,7,20110213
MINoStaS3wSvF0+DlutMtXZkLqOyC7v1aqiJUrdOpW8=,13,22,female,7,20140611
P5pTMK4B+6GzASa4l6uM5mIzdUOEuM5wrWfO8AeQYwc=,13,45,female,9,20090220
T4UZkqFjndffeMUzn1Ip4FW1ywhHepcC3y2+Y3jNJYg=,6,25,male,9,20130626
M8xLUzOd65jMxpKWRrufClywXKBXNE0SHgk1qcF/VzY=,5,38,male,3,20120317
UjxgWBb+6ARq9QG7rUtsUTziu350TJoHjecFS1HPrNI=,13,23,female,9,20080822
PS3G5pAdAu6UjmflEvv0sHvj7q6p1PtuKYMJUlLyuE4=,13,50,male,9,20090122
Tfyij7NFK64lsyv0CFEAgOn2ZaAVokKlIxog0u62XXg=,22,18,female,9,20160726
QvrY5s51BPdDQ0hjg9zEHgFpI9S3oYmiilT+QxWWtPA=,5,52,female,9,20100830
QprfC0J4yzVhbQs9fxxsXBPyAS5+2QDFB/6gsUTI/oc=,11,35,female,9,20040914
Mfuml7EceoUzA28FA08F3O5ARCG8ojGrUy/ELfeVgds=,15,33,female,9,20050625
Jw32ELQYuoKyXXUMS7VQ6hXxFi95COkUqf9hmxyiEEc=,22,0,male,9,20051115
LicotHduk5vHa5tYSY3fwKeFUWx2Dyd+JVIg0BlStMM=,4,34,female,3,20130917
Q6imZpSRa7dpy5AJYHOznRd4r+53Peh1SShJy17WUdQ=,1,0,,7,20151122
KMdW7Xa8+avksFE3I70vkSxz9FKZI0zbLyZw8olMucA=,1,0,,7,20160727
N5J4n67sHilex6SkhCXw0BUAEljmd8IGvZXteG2OlYQ=,1,0,,7,20160808
JpLtRBiO9Z3PGu183p2HhXfLra0aTYB+dvZSmMeU++Y=,5,26,male,9,20090605
PNxIsSLWOJDCm7pNPFzRO/6Mmg2WeZA2nf6hw6t1x3g=,13,38,male,9,20040328
Og4dMZCp0sZY75fj8fhERRb85Cvps0Avoox9FlVGOek=,13,35,male,9,20090504
Rh/+J5F8blGk1BsAybUsY5JWrQPMBlA3XVg2rfFX7bI=,5,22,male,9,20070714
OHKUDLC5XvI0TX43NtRS2R6idCnVordPiNoE6M3hxOo=,5,30,female,7,20111227
RddyNOV5o4zgwi/3P/mq/6fll1yE7mfWTY48nvhFkHw=,7,22,male,7,20140923
QeGnihZxbtBcn53Yq3CF6T2yqgiJ/CrjiF26YG8EkN0=,1,0,,7,20141015
Ppdrjx4tJlo4V1hsC7rVtcJhsIA7quzPPRpOc9ulv3U=,1,0,,7,20150920
LargLGp5LNPyriTe6XQcyUcpPGLxhdxwbLsLBlRawVk=,1,0,,7,20151005
TufdeZ1Phna0T1PdqiXD8DFiPfJ/o0ZmJlqUIrNK6J8=,1,0,,9,20141129
LTUpEGz/suNJ+XwNOH8Th1DEyA27IC+/8TUR/CcN+A4=,15,26,male,9,20060828
TbxtuVNb5py9TklcmCmMMSoda6IpxvhTON9xH0TyqYs=,13,21,male,9,20070321
TQigSQzrx4pNqDgBMOfy2D++pXOrS1YZCdUKkAp1OvM=,13,29,male,7,20140512
PM2m/cnNtzXvIruAymOcGGTjIOSd0W7D9ZnGxWiwGQ8=,15,0,female,7,20140601
PIxITcAohsAKjmGeAOErQcokSVmYCZAjzTfEHvq4924=,4,25,male,9,20120126
TwaTQRFCAZXY3ic2U4vU+9D6X7Hm2xaYHJFzY4oMXSc=,9,23,female,9,20141117
Qdtst+SoK1BOd8jSgEhBr5UAK3k3sP08M2DsmOg2718=,14,28,male,3,20130324
U4u5XhjVPKvkc5emj3OOuGgpgDRzFnxSU7pzxwhL/dM=,1,0,,7,20140517
JrwHG0WRVPxpAOXPH2u8j3Ozia5/SuHOi84TILix3a0=,1,0,,7,20160212
UCe78o7RjmRKgbZ5+pen1Xoq9FFf84rrgKORK/XWHV0=,1,0,,7,20160213
P8kX4qa9V0yC1ejNpfMpotyxBQLWXVLK7eBjoKoJKG4=,1,0,,7,20160218
M53+AsDZFxFGk34iO5kiEEJnhRsMqO3WHIY5+olbT2w=,22,18,male,4,20160408
UgNeQWc5wgkoMLal7aXxiC0w5Xfo+KS4WZ2I7wT+WGI=,1,0,,7,20131227
KcRTLmdGf5AWz0ImkMQhyBZZntGeAjijTzIh9b9LxtM=,1,0,,7,20140627
QhRuWdtS5OWTS9lU3y0Pq/EURIzR06j8Ht1sZcHcIig=,9,18,female,9,20141118
ODDbNJNhqz8Kxrt3ha7q5iLqYhPujQ8bNuVUnYVdVBA=,22,31,male,3,20141124
THPUlLcRcZwIIWEWm3AhlpSzPD/pNMcqYsB8zf57JsQ=,1,17,,9,20151027
TJvlgVutZ4z7tgJkEp04eEOtl1lFw7YTFKmRh63VL5s=,20,32,female,7,20121029
SanuJdjAz6VmZApnBzzpd99Y1F92FwU9N/t16111Kjo=,22,0,,3,20121118
NI2oyGDwD6XpXhWfX+aWJuBJfy+qn4TXBxpRgPW6+Ns=,15,27,male,9,20110622
MSuQRIie1l+4wAyV/i1bhHji0BP2psWlmS/t23to32Q=,1,0,,7,20110801
RMKy2gRyzMhwy9EVvDLuQVtjfqDenJ+UY6LJQjEgInw=,15,29,female,9,20070217
Smr2q5CN3jRaryqfGAeHTPGTex0caS+E/lCknWNHl/k=,5,29,female,9,20081215
Uitu73zPGzeVA8BvedJLFj2PXn8ycFvnacemtk+KQ1s=,1,0,,7,20150819
S/KIfCFdyDeu6EsJZRPP6aHlr+QgA/7MK5QJLjJ8RNA=,1,0,,7,20150906
Ok55QoH8cm97elLc3ggHGqjX1CnnNoV2QHJQyqDlkBY=,1,0,,7,20150913
Jue8w/sZzhOrYVTrGf5yYVXfh5Y0AmhUKCAjDo3M+bs=,13,0,,7,20140327
LypU7elGM6tZuTTcJmzlNp1u0Aw6Rky+qzA7atvyG6Q=,1,0,,7,20151002
Ln5EEzTK4e2oZllquArEHiMJ4fh1RkKU08QmqoAFmGI=,4,33,male,3,20120123
Uukd/BVijq0Zx5c094vd3dFeanjpnKZn5X4kirYWX54=,12,23,male,9,20070728
KopCWQfpnKXGNE0wGyZ7SwmEquX9FrSMiytyrdE7yZE=,15,28,female,9,20070918
TIG7U+o+UXD6DUQHPEX9q9N/7gX97xudywBP0y9rQ+I=,13,28,male,9,20061202
M2h5V9TUKgAQFJq7H6tZcgaioeYn0oZ4iAkNepW/bkE=,9,29,male,9,20071201
MyJWr5anWiv1t6N6DbozNQZ1naDquc/SIo4jdBZFd6Y=,22,27,male,9,20080122
MA6wK8BdJcwPAIajquCSMsu41415O2dIIcACtZuKSO4=,5,30,male,9,20070116
KVr1xrh1C83yusW9PYGY3bgq+dQGcxPjzyCy0t+nnbo=,12,19,female,4,20160303
K+/IfLt9L7dqG4zsIE1Y0tjImjbesX4WJ5ghvTUYfu8=,1,0,,7,20110301
R72vSNR93hVTozQqszerXcTbK4dyPSn+ow5f42zuIPw=,13,24,male,7,20151206
MVx7ODx6xO2R5sWhiUmLNrJNXMZUJMY26xksA2hSPNg=,1,0,,7,20130417
SiuKHagIQWpj2r+e9heuc75/J188kB9WQNxhY9ut7Vc=,22,21,male,7,20130514
SsIuJAfJaWogZO9v14NfJnpKPZHASblk+vUQNs0ocE8=,15,16,female,3,20150815
KvIIITXHaYwmVPGIANBucIViTUNfD1OrrQEQv+4lpmY=,5,18,female,3,20150821
R59E+2Yr+33IQ3aEHOyb6GbXSNbbs+WpDPghSlxMUDk=,3,0,,9,20150823
NMPtxwF17v3kKYjzAa3FOUg6I+1eCd2ffKsa3MQxVLY=,14,0,,9,20140805
QuWWEeaE1DPMi3t+9rbeogQRefo64CJBZNTvgAQEglk=,14,19,male,7,20160729
L/jxDU1sn5f+WsvK8rd0wzpEwp5c6RBUhzeggl3ssp8=,13,26,male,9,20110704
RjXG4tLTRhcTxW8GoWQtdGl13jJe/3BJL4a8zengBrY=,14,40,male,9,20110901
P81FI+AZlDadU5ahIN0MfMUUD8npDLDb/4ylsNdd9so=,5,36,female,9,20130827
SmQ4uS8tmlZsBgv5y7KUJTer0r5oTvMxR+zUIuUkwic=,13,27,male,9,20040904
U3LM5wLmNafbxn+szoV7EBqVCUrVMEWNhvrfFiKS5dA=,5,22,male,3,20131026
Lb4ZiIPRxDDiOihgLS+v9subbKgDShs2u7StXmnwfu4=,13,31,male,7,20130730
JvTs75/Acu/6Qyn/mrqVAG5jxjvPxrqaqurGGbXmFfs=,15,38,female,9,20100918
Q+/ByyewH3x1JPpTbH9id8TjPlO8fhGut5y15jkLBlI=,11,23,female,9,20090304
ORYJr//dPmT+jB1hcnOqi80JxrzoQj8Lz5hNjF66O0I=,9,22,female,3,20120922
