num_of_logs,sum_num25,avg_num25,sum_num50,avg_num50,sum_num75,avg_num75,sum_num985,avg_num985,sum_num100,avg_num100,sum_num_unq,avg_num_unq,sum_total_secs,avg_total_secs,sum_total_songs,avg_total_songs,perc_of_accidentally_songs,perc_of_favourite_songs,avg_songs_per_month,avg_days_diff,max_days_diff,min_days_diff,most_popular_days,least_popular_days,most_popular_season,least_popular_season,msno
1,5,5.0,1,1.0,2,2.0,0,0.0,0,0.0,8,8.0,482.17,482.17,8,8.0,0.625,0.0,8.0,30.0,30.0,30.0,1,1,2,2,xSqLnGiOpwC2lCFRG0dSLdTius8+N2N5tFzFM5Bnz08=
14,38,2.7142857142857144,5,0.35714285714285715,2,0.14285714285714285,4,0.2857142857142857,352,25.142857142857142,148,10.571428571428571,90640.427,6474.316214285714,401,28.642857142857142,0.09476309226932668,0.8778054862842892,401.0,21.428571428571427,50.0,0.0,3,1,2,2,c6VmKM3P+L4fhWJKWs/s9Cdi3zkfmbzFph2RY6nYU5M=
28,191,6.821428571428571,20,0.7142857142857143,20,0.7142857142857143,24,0.8571428571428571,307,10.964285714285714,493,17.607142857142858,85321.073,3047.1811785714285,562,20.071428571428573,0.3398576512455516,0.5462633451957295,562.0,18.428571428571427,42.0,0.0,3,1,2,2,iMaEoWZEjScyBU5UlBwvcc+g3x/KnipbFxnn+21oUKo=
2,9,4.5,14,7.0,24,12.0,7,3.5,2,1.0,53,26.5,7005.349999999999,3502.6749999999997,56,28.0,0.16071428571428573,0.03571428571428571,56.0,16.0,16.0,16.0,3,1,2,2,LcdKVlFnQIq6UCEcADek0v/qOIr3mtL8umu4Tefz750=
4,6,1.5,1,0.25,1,0.25,0,0.0,39,9.75,45,11.25,9299.069,2324.76725,47,11.75,0.1276595744680851,0.8297872340425532,47.0,9.5,20.0,0.0,3,3,2,2,dxjWwmFnB8fDvti5egqsbxDW3etYjUTCa7O9l0bH3ZM=
22,19,0.8636363636363636,6,0.2727272727272727,5,0.22727272727272727,4,0.18181818181818182,484,22.0,509,23.136363636363637,124405.088,5654.776727272728,518,23.545454545454547,0.03667953667953668,0.9343629343629344,518.0,26.90909090909091,50.0,6.0,3,1,2,2,qSt/+WYf+BKibz3wubUMebCcnegm1uF/E0GQYpLNV6E=
5,6,1.2,2,0.4,0,0.0,0,0.0,101,20.2,96,19.2,24413.239,4882.647800000001,109,21.8,0.05504587155963303,0.926605504587156,109.0,24.8,56.0,4.0,3,1,2,2,tS6FdgT0o9kD+rA0QqcivsF2yiyatr5+xosGvFpG5QE=
11,46,4.181818181818182,15,1.3636363636363635,4,0.36363636363636365,4,0.36363636363636365,203,18.454545454545453,201,18.272727272727273,69266.453,6296.950272727272,272,24.727272727272727,0.16911764705882354,0.7463235294117647,272.0,13.454545454545455,48.0,0.0,3,1,2,2,MV4nDgnfpZdPfzYgMxySgJVBbk69wCyqVGNy0UoxWgY=
17,208,12.235294117647058,35,2.0588235294117645,18,1.0588235294117647,44,2.588235294117647,525,30.88235294117647,617,36.294117647058826,140380.37899999996,8257.669352941175,830,48.8235294117647,0.25060240963855424,0.6325301204819277,830.0,17.764705882352942,38.0,2.0,3,2,2,2,TJue6P4ICu/ROu54UMe9/tdnwvOdoF9L4GWlvdCPxB8=
7,2,0.2857142857142857,0,0.0,1,0.14285714285714285,1,0.14285714285714285,81,11.571428571428571,81,11.571428571428571,20634.499,2947.7855714285715,85,12.142857142857142,0.023529411764705882,0.9529411764705882,85.0,26.0,52.0,6.0,3,1,2,2,n3HFvCr9cqiQCdqmn3ZK0OGq9vYQQLDpLCONuAUFrrE=
29,220,7.586206896551724,35,1.206896551724138,30,1.0344827586206897,12,0.41379310344827586,679,23.413793103448278,942,32.48275862068966,163982.91799999998,5654.583379310344,976,33.6551724137931,0.22540983606557377,0.6956967213114754,976.0,21.655172413793103,46.0,6.0,3,1,2,2,x71JmxSNfE25VkaXfYOxuRBLST8B911UGFdmMq9sXBA=
8,12,1.5,0,0.0,0,0.0,1,0.125,366,45.75,357,44.625,96250.582,12031.32275,379,47.375,0.0316622691292876,0.9656992084432717,379.0,17.25,26.0,10.0,2,1,2,2,sOOJ0Te82z6huraI2sCdag+2+gIDXHpZVjnNPj1tmmQ=
4,36,9.0,4,1.0,2,0.5,2,0.5,17,4.25,55,13.75,5372.822000000001,1343.2055000000003,61,15.25,0.5901639344262295,0.2786885245901639,61.0,34.0,48.0,20.0,3,1,2,2,W4T1QBdeJpYIoNsghDfgAVB51oyTzxQYuyWFa1UpWAk=
18,122,6.777777777777778,8,0.4444444444444444,2,0.1111111111111111,5,0.2777777777777778,375,20.833333333333332,262,14.555555555555555,79609.33300000001,4422.740722222221,512,28.444444444444443,0.23828125,0.732421875,512.0,18.22222222222222,54.0,0.0,3,1,2,2,WEH3a0WVKZIb6vBhF7HWOHi1bzb1oiEQa8omOMGza6k=
11,88,8.0,38,3.4545454545454546,19,1.7272727272727273,9,0.8181818181818182,108,9.818181818181818,247,22.454545454545453,36987.535,3362.503181818182,262,23.818181818181817,0.33587786259541985,0.4122137404580153,262.0,12.727272727272727,34.0,4.0,3,1,2,2,DEh6TLHGAfKrxkBBQybEpfN9LKAvoo0H9fATbUXrVcU=
29,227,7.827586206896552,85,2.9310344827586206,57,1.9655172413793103,61,2.103448275862069,671,23.137931034482758,826,28.482758620689655,194296.378,6699.875103448275,1101,37.96551724137931,0.2061762034514078,0.6094459582198002,1101.0,21.586206896551722,58.0,2.0,3,1,2,2,PQLLAUg48zaXRln9V4VO6QA75cTwEyUBpEBnVEqBtrU=
7,58,8.285714285714286,18,2.5714285714285716,11,1.5714285714285714,2,0.2857142857142857,73,10.428571428571429,152,21.714285714285715,20352.269,2907.467,162,23.142857142857142,0.35802469135802467,0.4506172839506173,162.0,20.857142857142858,36.0,8.0,3,1,2,2,470MpovFpKXFeykTJGWHS8FopYil6W9IpD9NzWpQGDM=
11,3,0.2727272727272727,2,0.18181818181818182,0,0.0,2,0.18181818181818182,191,17.363636363636363,16,1.4545454545454546,55244.823000000004,5022.256636363637,198,18.0,0.015151515151515152,0.9646464646464646,198.0,14.909090909090908,28.0,0.0,2,1,2,2,93g6lMNhnP6WZXQffKNlDYARZ7XerO5OgxlPxEbRFo8=
18,37,2.0555555555555554,15,0.8333333333333334,10,0.5555555555555556,8,0.4444444444444444,260,14.444444444444445,202,11.222222222222221,65752.927,3652.9403888888887,330,18.333333333333332,0.11212121212121212,0.7878787878787878,330.0,17.666666666666668,38.0,0.0,3,1,2,2,OwWif1cS66QUC4Q9qjSIjNxo4XBO71K4lpFml4rZ3lA=
19,68,3.5789473684210527,35,1.8421052631578947,18,0.9473684210526315,12,0.631578947368421,484,25.473684210526315,594,31.263157894736842,120148.887,6323.625631578947,617,32.473684210526315,0.11021069692058347,0.7844408427876823,617.0,17.263157894736842,60.0,0.0,3,1,2,2,Su1FtF2Ezt/2brfxQw22dWkFzYu2rC+yQSmoVSye+I4=
20,31,1.55,10,0.5,14,0.7,8,0.4,1069,53.45,227,11.35,260988.498,13049.424900000002,1132,56.6,0.027385159010600707,0.9443462897526502,1132.0,18.9,52.0,0.0,3,1,2,2,5h34ivfaCFYRUZNlw8GiDrN7jrveoFII+HIS4LZ95wA=
23,384,16.695652173913043,70,3.0434782608695654,38,1.6521739130434783,44,1.9130434782608696,1371,59.608695652173914,1725,75.0,357867.759,15559.467782608697,1907,82.91304347826087,0.20136339800734138,0.718930256948086,1907.0,22.26086956521739,48.0,0.0,3,1,2,2,F1y2dZaIzUWmbbSTQoYhZLgPfttBAwcwuuN10IND+Y8=
