msno,city,bd,gender,registered_via,days,season
mPVi+96lSxYRiXJKQokv4hqwuEIVjDx4C4vUqFifdLY=,15,49.0,male,9,3,2
6vY+Iuos8H/NJBxjhINTmDy6+KFU++3YK10GZrugm1E=,15,32.0,male,9,3,3
eM/qgPDjVqsXWbfW79p7Ze/vjoozXWvLgUeRtzRU8wA=,13,27.0,male,9,2,3
D1gRmAG0UFD5+biZrG4ThQqNLJ1E6tboqoBzCryn7Zk=,13,45.0,female,7,1,1
nvrqEDhqcszqXla8vcntFAnvCbERCJ8d3KOU+NOCAS8=,1,,,7,2,1
JakF2MGUoJa9QKpmXWNHA1R7XuzvA//M9Y3qckugI7s=,1,,,9,2,1
5BaY1+tOeK58TzFb08sW3geo0rJKumLcApnLa07iSG4=,1,,,7,1,1
+PkJB+K0J6zfg71BPlmUHuG6LJlMMa2Z8RIyr72RT1U=,4,,,4,1,4
5UJ7a6zCRLBoHVHHgF4ScsKyzqWhFKDX0obtSTZBUro=,1,,,4,1,4
6LfQkzXu4bflUrvpKG/VdrN3pSziR61U10fZyP1n2pU=,22,23.0,male,13,3,1
didQyPkTHhMsQZYVeKvvZkWYDd8E3Vtya1bimtZlfhI=,1,,,7,1,4
NEIF5DbvqR/5RTTHEZ+HSwAtwHTIPWz5ngRNQsvKhA4=,5,22.0,male,4,1,4
nptt++sHBFfXWYztTCmKVp6gkCqFmGL8o6pa/Z29nJs=,1,,,7,1,1
WpYNkiRMP3vgJRyq4TQzn7y8O0I7RWtXLXUorHClllg=,21,,,9,3,4
ItYlQVbRoSsyltNIKA2hW6/OYu9azWfV1gXXjAakWcE=,1,,,7,2,1
xFZwDmIqFBDck2AXdIKBCRXtpqKUgMpK74zOP+evsxg=,1,,,7,3,1
3cbRIWpjx+JQ5Cs74Fl9E4/wqn5T53Bl+1a1fsxXeu8=,8,30.0,female,9,3,4
Htz8NSSdrn+QVzIern9n9Zt9/cmKKdQiVkyr6pXkNnI=,13,29.0,female,9,3,3
08ynQi1HUS4JVvg0oR0N0uFFfQyLycDm6kuXWczidOQ=,5,32.0,female,9,3,3
mG/SsbVqg6T64WRhe+zOV9PTZIvWgR+lw4WJiYF3ZTU=,1,,,13,2,1
EOsrbT8pmKJnzxxqZ15PDLlxCyLsWWDOVGspuXwKLj8=,6,30.0,female,9,3,4
nu0AZ/N1X7bIn0xFqo4sOL5gMhyz9fgqyCKFujexMLM=,5,30.0,female,9,1,1
2oFsm9EaY6lOTH0Wd+2vhbPQg2TIZ6XMdVcVlkCv//0=,4,23.0,,4,2,4
V+fQwV+6Ikd1EpCXqAY5p1v6xTMN4Hj9tNiGVgQ0nX0=,15,41.0,female,7,1,1
vQ017y/6EVjUSmMb9IJvDZUJtLkHKGnWfUAbt7nxeU0=,1,,,7,2,1
faRFjz/xCxIb8oNCsLnEX3Q/8u3jI5YZ3n3TtBpHafc=,5,22.0,female,9,2,1
QyHoz5yypZH4229NEsO6X3DCRGj5UWTeiUp5y8gNMvo=,6,,,9,1,1
3a8R1fII2p8z7fFyQiSsQljZo6zgJrKnFnoVU5gde0o=,17,,female,4,3,3
fjAZhWj+5SlHJEQzNiXdsC4PRhF8fJP+PIQSMjZkqzE=,15,22.0,female,9,1,2
U7ZWkGUnnFc28OyYGWpF7+A6TVZu4SWMHmE5hQ84dmc=,1,,,7,1,2
pO8QYQEgUFKuw6xrZVcK+w/u3+p/M9kih1YdWxDaKlw=,1,,,7,3,3
b8VLP4vetYe1eGh80WOV5Edp2c2vwp40nXBL5/BYa8E=,6,24.0,male,9,2,3
O49vUGE4f1SRkGwiIKaMRwMfy5K+UvmvBJrrqxtlGoM=,5,22.0,male,9,2,4
XbJkOXXgUA1MDFABkOmcaUAHjXWSZInPD1i3HEmJKgY=,6,28.0,male,3,1,2
2OaV7/7vyAA2FrCkV4qXZEZYg5IzVyFNkQnQorgQ440=,1,,,7,1,4
h9Wy6n5ZzzYU0ImkWKfxAx7EuHcY2Am2xV10qtX77h4=,15,44.0,female,9,3,1
bYTor/0h5Ws9nMFycqEYkYepIhzot3frIUeMrsxkBRE=,5,39.0,male,9,3,4
NeWViP3SWyyc6tSDBg2PYW72wIXgWpDiHAi9ZHdy9AA=,22,37.0,female,9,3,3
oy45gJ0LtO+MAn1gMG1H/7W6jK2diW4bpgORuOpbC0o=,1,,,7,2,1
GK0r5zbXP0fPu+CWzV9H5ZZ3C0/iXbGXe+boJaFbvL8=,5,38.0,male,9,3,2
MM99M55/vrN3z/YygqMrJ7mz4dp6oY4h1yxJk4LAbUc=,14,,,3,1,3
xX20yMXusSa5DjfuN2VLiA0SnV27LoV8cuEKnPrfzvY=,1,,,7,1,3
MPo+KWlG29xexu/NkNIMarHvM8eu121VLGo0gMs5xzc=,13,29.0,male,9,2,2
iwaW5AbrTby/fCzHfSVkq+Gfl9PhrQIeEonxmb8D6tI=,1,,,13,2,1
OU5cSvNiP0vZZu2H6+Ni5vXX/jSVDfiAC37AZ9dqViI=,1,,,7,2,1
/qKoZ9Pb4uqp/WitbeCwmVMLARssO+9bImmom5ARcW0=,15,,,3,1,1
GMj8RS3MYDS45GP/5/1ItSATwUUO3tfM76CVS+H4ej8=,15,38.0,male,9,3,4
v6F9bwoPn/aXX2aL57tCWLLSCCozajd7FRUu71XjFxQ=,13,24.0,female,9,3,1
fIB7bV3yUt5iZSp21A7+BFd4aHEsb1y5Hd0usMXpw1s=,22,32.0,male,3,2,1
DX1q68ExnalBQmRc8lHrGQ4vleLyCNvLm0/w7v2jSwA=,1,,,7,1,3
w2CRQ6qL3QWg2IRq2RSWP/iearZhUSck/qXPOJYFW10=,5,20.0,male,3,1,3
9B6SPMUUfEHuiSc5GzBBxk1ZhMxvyucwCJu2p4dYg9E=,15,20.0,male,3,2,4
Aqhh+rae1qTk4UwIO9nlcRY1golFfjy1A2OH/SuBfqA=,1,,,7,2,1
IVcXdLlOJopoAei0yvox1Cv7HUxM+6iYbolSfaj+bYc=,1,,,7,3,1
1tE2Pbqp2HXpkCq7bAHWPnsngFTTUJYbhJCO1qsh54M=,1,,,7,2,1
HbE7dJCqzUPonrCEb9/Sm2zsoWmXhsImfS+Rd2BUWlE=,10,28.0,male,9,2,3
DbrJ1vpMP+jdSuqoMedNJFQ0GLrveWM3cyaqC5Fmw20=,13,39.0,male,9,1,4
mQzfbMION1C8oqNNehAe4DrVYtjCTDMQTQVWwkbwAVo=,5,18.0,female,4,2,2
ruJOPmSwF7oHw5D5AQUvEDP0xkXXJY+Tl8XaI04Y12g=,1,,,4,3,2
OaxEDOMHGxuMJLK7hn8YZlvdgN6PvkVLdf4QKwUpulo=,1,16.0,,9,3,2
F9wug4tC97N3oRkWlzr/oxhdNnNlSzB7y1AWXeo40SM=,5,38.0,male,9,1,3
hAlq/iZ3gUgRcVkk2t7Z1nyIiHuNihJ8JFyQLK3Ro0I=,21,27.0,male,9,3,3
OqbQSPdeQtQShYD2tmXNyRZFakGK6d6qITC1DBMcwM8=,6,25.0,female,7,2,3
rQns6tI9rcY5p2zNazaSBvjVSDJma7HRlBm8alx4JIo=,5,38.0,male,9,1,3
c6VmKM3P+L4fhWJKWs/s9Cdi3zkfmbzFph2RY6nYU5M=,1,,,7,3,3
m9P//ZLBoUlIh/IPGShsbF8tifBFms0TtK49mMvepkE=,14,,,3,2,4
c+MkuxRSgtJGAzoTgEKLZQY9vX+nTl/77exwY3b2cPo=,18,26.0,female,7,1,2
WnJw8TbmNOn96IKHb/dEX4Cr+ZKc1U7oedeWHVPKkxk=,18,32.0,female,3,2,4
KnTVcOytf7gjlsp2Z/MPH3Rf4YjDaw9a0VjiTATL9uc=,13,,,4,2,4
zNmaBNms5A2YvI1SFY0GgwN1OaFBc4QFc8NSWESxV/o=,1,,,7,3,4
TBknJYdapCtwHLN0BF7gyFZY7pcsDq8jZtVpKg2F03M=,13,32.0,male,9,1,3
VAf3zFxF9zZaNSMY62sr2k4hunIKQr3Aqo5K81zlcxE=,15,19.0,female,9,1,4
AeYhUA2SjxpRN7n5c7/y0v3AkY7E/0mU0HmTXkydEss=,1,,,7,2,3
yHIhceDhikF091ofOG2yfDyeBUzSIVLtC1uST4oCXmw=,1,,,9,3,2
0wQDXPtMBFihGjaZ5HvO47OWuwK9ldDX53+txL2kOdc=,1,,,7,3,4
v/KMf6YjQRLkrmCVagcc8rF1ILYUHQlpmqB2C8Q/Zvo=,13,49.0,female,9,2,2
v+zVUt8jC8snNvDax5Bxv6gcgsoYwVJ9Cz+0AhE9r4I=,15,35.0,female,9,1,3
mqzouLepy1S5oyjllwJXJ6pll4d57M/EL8f8M7N5iTk=,22,38.0,female,3,3,4
2KmhzS1NSfbnuMBhCHRqDPHECBO9zOXwtbfEDVVR45s=,22,40.0,female,7,2,1
5hz0wS+rq1S3+QlvBekY27zPi+k+hRRqfajGjwynzqU=,1,,,7,1,4
rgt9NYzEZMaJEvQuqxW5TqRSB+F4MonmLzAmBPkDJ94=,9,42.0,female,9,3,3
7IKoP+7uLqxnJ9VK+SXRNnRZ7g5MVlb7CMVFN09K3Hs=,9,38.0,female,9,3,4
1m91HsZUO53drOd2CmAT2nf4JnK4xxBfbzPNTu9pkjU=,4,30.0,female,9,3,1
f/YsKAXO6KqxRdhIncqGQmEURDkRnWT5m2TjRSXZqls=,13,24.0,male,3,3,1
v0N6LIk5GyFkQv1CqZfBA9Fl9vk8qhnCztkBTTvYsPE=,1,,,7,3,1
ls4WXDLk2XYEWlx7yrKLYx16FHH5DalU7m7RpFimXyc=,1,,,7,1,1
Yi/q24Ax3QVn08zJ3Xjq9cL5Z+ZuPd1m84UhbKMT0vw=,4,43.0,male,3,2,1
vlh9DlCCpE2KGmjd5ZxeRrhSshHQhby788a0FcK6/Rc=,4,35.0,male,9,2,1
aIqVuNqj57aDRMegXz7xos/Gc6FZdjJkk3/+XXVdXu4=,10,23.0,female,3,1,3
A+QXgCiod/Bi0l9Rjts3QKdqtD0FYte5FZjYwp6K1uk=,14,25.0,male,9,3,4
5qH+4DxnNDDTt9IIXB/ngb4M3xvfRWA8+FMaCEV9/7g=,1,43.0,female,3,2,1
f3zD0TXrI7UwKJzRL3+4OaKGgTOlMTzp3CQv08zUwT0=,1,,,7,1,4
ZdQSzBafJPOMHW40rzHPwp8e4h/3B+wkn6rtnnQG3IM=,22,39.0,male,9,3,2
Sqrs4WLKjaTQqNVuGicy3moyKPLW5rwnocuAxTk1lwQ=,15,27.0,female,9,1,3
dyeEfnjSCaTawui3U7VBoHaQcud8y8P6+F/XGfaWeWo=,17,51.0,male,9,3,4
8xLvA+xKYyfj/DoTJJTJsEraqUr/0pPyuuGSvD7lox0=,10,36.0,male,9,1,1
frBD64kNyPlcG/7BjY0byOdKBIkiJUbgAgp8WZdOGNk=,1,,,7,1,1
Iv3coPAUsFOZa1+OuGuxCfAWyvh1jp7eIkEGIdbCaCU=,1,,,7,2,4
74uWzjhW0AB4fuKOahrfbqi+fZdnwofukEUFPkt4LdI=,1,,,7,3,4
l+UpIDV67gfJNwgEbzWozKefxGG0YZ8c70LBgZQ601w=,1,,,7,3,4
Aca7RNjXAwTx8GBeT2czsTEFXYSkTF1ErNUNuyQ4SDw=,1,20.0,male,9,3,2
4ISeW/G7lKNUjercwIdEzf6DhdGyb26h7hYWvYOJULs=,1,,,7,2,1
CLXEgqxMdE9vljhc5Y7HmR7+K1zgomLo7zbh6eKvYDo=,15,19.0,female,7,2,1
7Ay5iVopSaR0bzHvGtlUmhc/+BiHjZs3mN9qBVs0HCQ=,13,33.0,female,9,3,4
j+Jy1dxZup80PG1J+tt7MZBdvCaiC+jjvx/qxUpUko8=,22,19.0,female,7,2,4
sfFVE2Q7zllwZBmCLMooJ9HxydbawsyAJqqxqWZK/UI=,9,30.0,female,9,2,3
H3BbvVOcKB9urpyhHpWByaVOGJt+XXNxXw/XRATuvjE=,22,22.0,male,9,3,2
XzSIhr2L5ADgIWMjMRHjfjQdgY7OZo0Db5O77ws6JtY=,5,32.0,female,9,2,2
R24aX6AqI4Wkz0nHOYG6mxEXDI+Isc9RjlplDsg9IWk=,1,,,7,3,3
jIVNOu546pgE0xqPoGluxvwc1qjJfDf1XfyJJKmPtXY=,22,26.0,female,9,1,3
WR5gkpHCE/rvKBkC5cUi1+VWc9moRSSSxD8Jn1oFw3w=,4,31.0,male,9,2,1
rl6fEIabBJEYzOSpxx9/ebw2yi+MJ9yYnLBjNYOj3ZE=,15,34.0,female,9,1,3
W0ntiPEMyEhENQToUhE/hXR8jQrSUr1eiiRPCAmUjnk=,1,,,7,1,4
tVb2OGZuJb0sEP+XKW4iL7Tlavwf5wagSku+M1MUZSQ=,1,,,7,3,3
DCdbScTq9tkA3ZNdqq9/xrr4NrO0Cn423Z00iFhbKXo=,1,,,7,1,3
8WxrF1f/6pUZyXDEvhN7CRkCzNxg0v2H2KMDL8r62aQ=,1,,,7,3,3
zTWUFUIG7yz0PI9CDizxfvBInEqE2fG9rtpeWPd97aE=,1,,,7,1,1
VVU6quGr8CaNF9irWQDpglgWSvvoGsTatgg8Jihv1qU=,14,22.0,male,9,3,2
EhqJ3LB9MDzwsjZ5C1m4olEhfGfpgzq+hb2N/nrKtx8=,13,23.0,female,9,2,1
IVBrynSJ7wHrZgBcZCsgEdlU5wPHSaz2WVtsSXma798=,1,,,7,3,1
cwYF6aAx/SQRGTqZSdJvEtMIJgH+cccs07ogOY77dAA=,21,19.0,female,9,1,2
RIf1Z81hRQyvv6KhnvM+ecf+LGxtzZ3aeQ77B1c18VE=,14,27.0,male,9,1,3
HdhywV+dyItEcJ/WlZPUqA3ETcQzYG7z3T0IEerjWHo=,22,20.0,male,4,1,1
annbP/KpQtJ/r6/Qg3oKDvQDF6EWTfRvb9d+Mmo2Fgs=,1,,,7,3,1
tCnY/W30dv/T5xdRfyp01VFG0pM+nntJD096wPesG3U=,13,19.0,female,9,1,1
RvYHJFRHQ7Vf/DGCcxG9qkEfJ9vByCkYPb88gtT8x00=,1,,,7,1,1
NSWGm48Qf87O+lFrAw9mPZ8eyQbQJkBLMXChMij6GBA=,4,19.0,male,4,2,1
EaX56kswfNf2AdpBv+En0iby1mR48rKXeCzALhG4OD0=,15,,,3,2,1
glgizk3qGBj/pjm74DfOt3xtE0WOivBBIJF4h+Ptcnc=,5,,,7,3,4
yOj468+M8BrpPpIQRPHGbVL/scPoj1mIBUpwm4i34T8=,1,,,7,1,4
K/rKBgpaFRMeZQG0U92Gr9upN855ByC1pd1aQ1ak42g=,6,34.0,female,9,3,1
jpXxTM+U/oH8xnnmKLQXDNaeqhqq8q/eHaQvsOxqGm8=,1,,,3,2,4
t+f2cTpwpxy8jMkBdVKA6FOIzQv217BQ5QjWHq5WHw4=,4,33.0,male,9,3,4
rCWvun8RBFlrcw9kV7o0YyEm5hDCel1oiHeJN8KGQvM=,1,,,3,3,2
2yEseLmofjfbSEXuRNZzYKAwPnUpTZGngFzGjTY595w=,1,,,7,1,1
e+/9jI9Vu4ayLEeVgX3LZbadvkG57VChpFlc9QpD9aM=,1,,,7,1,1
wa1pvvGGRjkhuavwSvpuzkapyU7/LPjSel//x/C19V0=,1,,,7,2,3
L3TD7M6NtTPNZSBAsSJkn9SSwPJzOFBxQ2nqJ/NRT0Y=,5,31.0,female,9,1,3
E1C2SiCpZS9MtU7SaOQ7heZSXQ9fOPG3WT+q/PhHGBc=,13,36.0,,9,1,4
JxwUP9CdEBSYLNyEBNNwd9fxxrVdZ+5sfiWPr2zWs4o=,14,27.0,female,9,1,4
L820/xIr+VkTDyQoy+s/3dNVNSV7BKpLEyzDn0nPUDE=,5,28.0,male,9,2,4
ufq8Z66QY7eqavgqEB+HbY6qpWoXz2LNbyDNf8Bq0TE=,5,36.0,female,9,3,2
kgUjddFHjSakeMhuqKuZPIh0MGavKJq/ihYeCohG4PE=,13,33.0,female,9,1,4
vghN5XEdUZiC4g9IVW4fJ4668fr7ani8fQ2/ZpfbSJY=,6,31.0,female,9,1,3
FMM37S4X/ZKb8DRQentn36epq0llnLxTj872kYW/Xmk=,5,39.0,male,9,1,4
CgCPDSudDmA086UCCE9wR5mEd9LHXEqtiz7gSzUCyfA=,4,33.0,male,9,1,1
WdMRoA8UBarV9ccYmxQW/qtDhWNaBQ2FShvyPssIkMs=,4,35.0,female,9,1,1
8U4ONUdYnmoeCr9tBkd3lEN4tA/lWK4UzhPVumR8da8=,5,29.0,male,9,3,2
E7BJXU2TyDNdnJhzkY1JRw+MMJSiH0Y0ZRKYEkpcWCI=,1,,,7,3,1
N/8OR2RSOB87+aTk8aQ/fUEuWQtZgboYbIrst2xolOo=,10,30.0,male,9,3,4
vNnpIdMd9yY6osQrXPisTFWr3lYlvMXLZ2jmzBQu7RE=,22,31.0,male,9,1,1
tPF6BbkhEFCw7TsDq5tpTO8XxKx3/N+IGdxe+DbOh4g=,15,20.0,female,9,3,3
SJmEt2neuMw2GonVUyQ8a3qbiEhIB8UpSbszVH8XxPk=,9,32.0,male,7,1,2
6XNzng/7HaRMaXauvlhCUyDkLAkgWqvlHlbrarPdy0g=,13,20.0,male,9,1,1
RoBLk8nL0szGFqQZwgyN0JuZB5CaT+ITr+MVLqIWp0g=,1,,,4,1,4
afBAmSTsKf8fy5NRe1eFpq3IgwLIeOCcGGwqoUurRrg=,22,18.0,male,9,2,3
22gPHL8kqr4/OlnFB5kSVQxApeRVAc0N/wqwIAs0BvE=,13,28.0,male,3,3,1
XeOCCv6uMACtlCwuq/5v1YIpBYwXvDHArikzBvNhfck=,22,23.0,,4,2,4
AkLgRqmhlCWGtYhlTWGxPkPF7OiPvwPjTC1qrpQS3hs=,5,34.0,male,7,2,4
VCZm6WJqkwDhmConNXKrPly5XJWE26zjE7FL9tlSqww=,15,19.0,male,3,2,4
OUd9HrVBuEO39k0XIeW657lzx43XSmnQ9IGBHkpGa1c=,5,38.0,male,7,1,3
Fxvf6qlFgFT3EKBTfIXqnsy+4twi3+Jwl7K8PGDd7Fc=,13,28.0,female,9,3,4
xR3LUbW6kFCuGM1QzOwg7oE4Bo7eNc93or3TD8sMO/s=,10,32.0,male,7,3,1
KcVOuIFo4C11YpPpR6Q5FS7upgspckzZBe1cuZy4WjM=,9,43.0,,9,1,1
890IODrXBCDkKpmaGi/5lhhFuLr3fMf3p2puk/zxIHo=,15,43.0,female,3,1,1
9tPTLAFwmk2X9iWS1IEM0uhp+COsqAEcVC/Ga/dUQOc=,10,20.0,female,3,1,3
BWGrEJHURTRJrmVFkYCRWawfqZ7M9Ft5OFSLKiettOQ=,12,25.0,male,3,1,1
m9eXPO0KheWJ7YvyGSRWa2QU1J81aQ7iRJXbYlCb+uE=,1,,,7,3,1
urzRqPNiKnHK7T8iKXQHZbANUlcuPuYyLhGTqWK692g=,1,,,7,1,3
uB9R/ZCoY5pBmIaSn9znlApjQJc1So5IzHzgjvJXLGA=,6,,,7,1,4
o1IRygz8hV4XpOUoH7mMjq/qFD7Gi72AbzU4W+bg+Yw=,1,,,7,1,2
6aCiw9mynaGqj9/lN4dSzYepDcZ4aawgXqETQroifUY=,3,24.0,female,3,3,2
eLqGZdaxY60DGlk3Rp0HRTj7n/IKUXwJ4fZ2+Px6fnU=,13,,,9,2,4
JzE7Hpkio/tQ3Z4bMB39gX30/kDZblv9FllIoJv2QGw=,13,38.0,female,9,1,1
H9/cljFyfmsTjcsJAjnTd18qm3sUmGMLtUojDaFRcZ4=,22,30.0,female,9,2,1
HxIOz6Tffl9wa1a+IvK0sLJaLqNCeIGlvk9ijzhQG+c=,4,31.0,female,9,1,2
F/3htR//3GFu3+LCteW3/oc3ZBZ7KXqYUmwrTp+SFnQ=,1,,,7,2,4
3Y+4LCoBpJ5STywPa9GxFB1FAAwo0xIMGRILFGCREek=,1,,,7,1,3
4jrDqxmkwZ+r9p5BHZOyFFvrblEsjf5RAGQN72rnz1M=,8,30.0,female,9,2,2
cMWd3JKuFD3CQ3duLbagK0ZRQy5dz4UFZjb12cSl5LU=,22,24.0,male,9,1,2
WT3EFi/lCY9/QwM1hrUu6a5LyaNOzpWAijjUlHmTOjU=,19,36.0,male,9,3,2
ie0m9dRqOELR8FGLXNCCTW7SI3cNuaBNrQzApl0iFHM=,6,28.0,male,9,3,2
AFTJ9mvhzoYo0kPXbZwRDM4dcDJOTeoqaXRdxmPN48w=,1,,,4,1,1
HmIubeI5qfB7nF2ra+Ha4J7pymgXzzZxYdm/Z6VG+fE=,1,,,7,1,1
Wci6F/wkAycSsCgKG+KysTPg0nyyePyWkkS1BuL9+VM=,4,29.0,male,9,3,2
mBN9yY8ZyZrRVEC0+RI2ueQOYnQRyPb5ce5JJA2H4kE=,1,,,7,3,3
yyyL5/dbRpOFTlViE0dtdVmFprQhVIeWM8SieOMoALU=,18,46.0,male,9,3,3
kisJDVq0M0urXaPxEwN5ixuIBRWSw0fT90IA1vsvqtM=,4,,,3,3,1
1/4Jw/J5YAtcdtK5rxVsjQVxLi0tWS+WJOSH2+P/d+k=,1,,,7,3,1
970caGq49hkreLQL2LUil1HzYdxprT9mWYSFqYlHKKw=,7,23.0,male,9,2,2
BJ6L0kLGUzUtwMfBzvX1/8Hj7g8FLJ7M6p+o+zcHg3k=,6,,,3,1,3
LXnNV7QTw1JidcSN0UBSCJ3BIN4HwmzL+t8jkjvcSkM=,5,42.0,female,9,2,4
qpDZgqgLq/uQLDHkqUiTpdiXAnF0s3hlVeTCpGcFoxA=,13,26.0,female,3,1,1
pKigb27szHcGl2xzjwan4Lu3gTEL/D5Lwx0v15HDnu0=,4,22.0,male,9,3,4
d93CA8ozkpKS9ZjrxJuwV10D6i4VWlPoipi8w7ONeMk=,4,27.0,female,7,1,1
WZmqK7ororn7jLHsScc1E5ojfbpEu92rcc7LXOJseBM=,15,29.0,male,9,1,4
Mw5uZl5ZKJCqTFQlLLehnYl2LzhzgF6qkAc3y7NajVs=,13,23.0,male,9,2,3
M9qaeXjfSN84RBNZSaWK8GIRMBinh5bfWD8h31zFGGk=,13,23.0,female,7,1,1
kICkMU11x8A0SsAKUEesaI8VCtUZJneISsOo26ow4sU=,13,32.0,male,7,1,1
FDbbcjVf+3Ks60sU3iXEI1bhx4ak8z3cHiL79gzoVDo=,12,28.0,female,9,2,1
Pz/FfZn/GdfRoHHEw4H2N60rga8syCQcfxncX+qGrks=,1,,,7,1,2
Bkv6NOhbTvUEKRatDJGz1H3zcShL1IwzuoJd3vEBqQQ=,6,22.0,female,3,2,4
2g4f+FIE7yLVGVzy23ttTcRA5sHkabSTcIV6RvHIZU4=,1,,,7,1,3
oj4Xsy4DaoQ9EqO+kotitr8sZGEEkImjDncg/O4ylT4=,6,33.0,male,9,3,2
NNkZvuuj+AuEvVhkLGFlYq6+f9kzto7jMGDHBqS08Bw=,5,40.0,male,9,1,4
IgQJTqKjpbKntN4UU47wRBitUTxNSOCZ9N+8ood+1J8=,1,,,3,1,4
IB4xc7VSMU06yuQn+v3Mzr5EIwDW8wfAot1WC4NVe58=,13,35.0,male,9,2,2
i93GNZuhgaQwzFCHCH3c4tGmoXJ5eODBIpLKiygfcaI=,22,25.0,female,9,3,1
aEnp6MH508UFQa42Ougu1RirLmaYzlt6C4aC1oJPGA8=,8,19.0,male,3,2,4
XrSyQaof/BacDby8hdjscc5WsdetnHIRjUvKhC4YT/w=,22,26.0,male,9,2,4
ywcPay2ssZlR3WkrfwfcGHKMVJ7UhLTh19cc0sZWFCc=,13,22.0,female,7,1,3
AW/L+HbS4bLVpNuGHODgvyRXn+sHDoCxFAWBVo07yLo=,1,,,7,1,4
2d41v9RlY1FpC/w6nzXvNWbo4k2gD19eV/9mXfBhfZ4=,14,33.0,,7,3,3
f2V6s82o0zD3uwOkBixneXGfKSEumCdhkHDekCCdeGg=,4,18.0,male,9,3,4
9kRvM/h1FMGyIhY7EPKUID0CQhvEr1x1PsMubnq00zk=,5,23.0,male,9,1,4
fgOwRKmeFR2aUltHAfvJegOmKigHBpQ2wWlf98h0wG4=,1,,,7,1,4
CjZbM6N0hMMFVAQAGaG+V3eOJ9MtfDMdslqqhinZJf0=,1,,,4,2,1
hZ9/WpdaYoagySipTtUPrjAgBnQKRbw9lxqg00Y216E=,4,19.0,male,3,3,4
mowfgXYdD7F4Jz4JspJlYTFYpGnCtKN9dJqrtlikFgw=,1,,,7,1,2
gshDwciEyvFr1u/gynD18ekjeUG7EDeAyIavrX4CUYQ=,5,39.0,female,9,2,4
4rL8ADXaXZXusx7BNWafvzd2ErmQ1tlBGmdyIKO5SQc=,22,27.0,female,9,3,3
VyecwXO4MeG4ah8yoSu7maSQumksgfqf3StsfegQpjM=,15,26.0,male,9,2,4
INp1azrx19o+bNjvQn+u27c9HihDFQqAK92WapD6nS4=,1,,,7,2,2
eEUCLh/Mfys5UFKdaEAX2FZu/f88UiStiu/Fa5lcswo=,22,22.0,female,3,3,1
qKYDw07GTMHa4LvXqsFzD3cwTeOa9ydYBodh0a0IEX8=,1,,,7,1,1
2ov3cz3m9Ft/oUuxUIO2j0ZAn65ELLnnyGCby4fqjFo=,13,26.0,female,7,2,2
uWOY9TfISgtZ/PQV1Fk6HGenbB/lphgVJ6CK2M44aEI=,14,27.0,female,7,3,2
aERpdyomiGQx4D/urNLcK5ohu3w3Y++tHd7wzATJALg=,22,27.0,male,9,3,3
